type,title,release_year,rating,duration,month,date,year
TV Show,Love Your Garden,2013,TV-G,100,July,26,2019
TV Show,72 Cutest Animals,2016,TV-G,100,June,1,2016
TV Show,13 Reasons Why,2019,TV-MA,300,August,23,2019
TV Show,The Fix,2018,TV-MA,100,December,14,2018
TV Show,Sotus The Series,2016,TV-14,100,May,25,2019
TV Show,Ken Burns: The Civil War,1990,TV-14,100,February,22,2017
TV Show,Call Me Francis,2016,TV-14,100,December,16,2016
TV Show,The Inmate,2018,TV-MA,100,September,26,2019
TV Show,Undercover,2019,TV-MA,100,May,3,2019
TV Show,Molang,2015,TV-Y,100,July,1,2019
TV Show,Bottersnikes & Gumbles,2017,TV-Y7,200,March,24,2017
TV Show,Autumn's Concerto,2009,TV-14,100,August,1,2016
TV Show,Girls und Panzer,2012,TV-14,100,December,15,2019
TV Show,The Adjusters,2010,TV-14,200,September,18,2017
TV Show,Criminal: Germany,2019,TV-MA,100,September,20,2019
TV Show,Nailed It! France,2019,TV-14,100,October,25,2019
TV Show,Sym-Bionic Titan,2010,TV-PG,100,December,15,2019
TV Show,Operation Gold Rush,2016,TV-14,100,February,1,2019
TV Show,Dear White People,2019,TV-MA,300,August,2,2019
TV Show,GHOUL,2018,TV-MA,100,August,24,2018
TV Show,Border Patrol,2016,TV-PG,100,October,2,2019
TV Show,Morphle,2011,TV-Y,100,December,1,2019
TV Show,Strongland,2018,TV-PG,100,January,18,2019
TV Show,The Indian Detective,2017,TV-14,100,December,19,2017
TV Show,Rebelde,2004,TV-14,100,December,31,2017
TV Show,What If?,2019,TV-14,100,May,7,2019
TV Show,Tales of the City,2019,TV-MA,100,June,7,2019
TV Show,Bob Ross: Beauty Is Everywhere,1991,TV-G,100,June,1,2016
TV Show,The Innocent Man,2018,TV-MA,100,December,14,2018
TV Show,This Evening,2017,TV-MA,100,March,11,2019
TV Show,The 10 Sins,2018,TV-14,100,March,22,2019
TV Show,How to Get Away with Murder,2018,TV-14,500,March,30,2019
TV Show,Turn Up Charlie,2019,TV-MA,100,March,15,2019
TV Show,Friends,2003,TV-14,1000,,,
TV Show,The Disastrous Life of Saiki K.,2018,TV-14,300,March,1,2019
TV Show,Dance Academy,2013,TV-PG,100,December,20,2017
TV Show,Van Helsing,2018,TV-MA,300,August,28,2019
TV Show,The Road to Calvary,2017,TV-14,100,September,1,2018
TV Show,Jericho,2008,TV-14,200,August,16,2017
TV Show,Wild Arabia,2013,TV-PG,100,March,31,2017
TV Show,Hjørdis,2015,TV-14,100,February,15,2019
TV Show,Jhansi Ki Rani,2009,TV-14,100,June,1,2017
TV Show,Nature: Animals With Cameras,2018,TV-PG,100,October,1,2018
