type,title,release_year,rating,duration,month,date,year
Movie,Headwinds,2011,TV-14,92,January,1,2017
Movie,Garfield's Fun Fest,2008,TV-Y7,79,January,1,2020
Movie,The Game,1997,R,129,November,1,2019
Movie,What's Eating Gilbert Grape,1993,PG-13,118,November,20,2019
Movie,ReMastered: The Miami Showband Massacre,2019,TV-MA,71,March,22,2019
Movie,Lifechanger,2018,TV-MA,84,May,28,2019
Movie,Virsa,2010,TV-14,127,January,30,2019
Movie,Bombay Talkies,2013,TV-14,123,May,1,2017
Movie,The Haunting of Molly Hartley,2008,PG-13,85,October,4,2018
Movie,Would You Rather,2013,TV-MA,93,June,5,2019
Movie,Alpha and Omega 2: A Howl-iday Adventure,2013,TV-G,45,October,1,2019
Movie,Mystic River,2003,R,138,September,1,2019
Movie,Bad Boys II,2003,R,147,October,1,2019
Movie,Daniel Sosa: Maleducado,2019,TV-MA,55,June,27,2019
Movie,The Knight Before Christmas,2019,TV-14,93,November,21,2019
Movie,Cabin Fever,2016,R,98,June,6,2019
Movie,Aziz Ansari: Buried Alive,2013,NR,80,November,1,2013
Movie,Catching the Sun,2015,TV-14,74,April,22,2016
Movie,Alice Doesn't Live Here Anymore,1974,PG,112,July,1,2019
Movie,Deadcon,2019,TV-MA,78,January,16,2020
Movie,Jonas,2015,NR,97,February,26,2017
Movie,4L,2019,TV-MA,105,July,12,2019
Movie,Ankur Arora Murder Case,2013,TV-14,127,October,15,2017
Movie,5 Flights Up,2014,PG-13,92,March,17,2019
Movie,The Land of Steady Habits,2018,TV-MA,98,September,14,2018
Movie,Cuba and the Cameraman,2017,TV-14,114,November,24,2017
Movie,Chris Tucker Live,2015,TV-MA,92,July,10,2015
Movie,Eric ldle's What About Dick?,2012,TV-MA,81,October,2,2018
Movie,Being AP,2015,TV-14,99,August,15,2016
Movie,Coco y Raulito: Carrusel de ternura,2018,TV-MA,57,July,27,2018
Movie,Suburra,2015,NR,135,October,14,2015
Movie,Katt Williams: The Pimp Chronicles: Pt. 1,2006,TV-MA,45,November,1,2018
Movie,Jim Jefferies: Freedumb,2016,TV-MA,87,July,1,2016
Movie,Raging Bull,1980,R,129,October,1,2019
Movie,Black Snow,2017,TV-MA,91,July,1,2017
Movie,Manhattan Romance,2014,TV-14,98,September,8,2017
Movie,The Witch Files,2018,TV-14,88,February,1,2019
Movie,Hold the Dark,2018,TV-MA,126,September,28,2018
Movie,NOVA: Poisoned Water,2017,TV-PG,54,July,1,2019
Movie,Prelude to War,1942,TV-PG,52,March,31,2017
Movie,The Jane Austen Book Club,2007,PG-13,106,March,8,2019
Movie,Angela's Christmas,2018,TV-G,30,November,30,2018
Movie,Power Rangers Samurai: Clash of the Red Rangers,2011,TV-Y7-FV,46,January,1,2016
Movie,Blackway,2015,PG-13,90,December,15,2017
Movie,Muramba,2017,TV-14,128,December,15,2017
Movie,Pan's Labyrinth,2006,R,119,January,1,2020
Movie,Hostage to the Devil,2016,TV-14,96,January,15,2017
Movie,GODZILLA City on the Edge of Battle,2018,TV-14,101,July,18,2018
Movie,The Mistress,2012,TV-14,132,February,27,2019
Movie,Ip Man,2008,R,107,January,15,2016
Movie,Dance Academy: The Comeback,2017,TV-PG,100,July,2,2018
Movie,Yo-Kai Watch: The Movie,2016,TV-Y7,96,December,1,2016
Movie,Jersey Boys,2014,R,134,January,1,2019
Movie,Okafor's Law,2016,TV-MA,110,December,13,2019
Movie,Once Upon a Time in Mumbai Dobaara!,2013,TV-14,142,May,16,2019
Movie,Shubh Aarambh,2017,TV-PG,127,March,1,2018
Movie,The Drug King,2018,TV-MA,139,February,21,2019
Movie,Viking Destiny,2018,R,91,February,2,2019
Movie,The Clapper,2017,R,90,May,1,2018
Movie,Weeds on Fire,2016,TV-14,95,September,27,2018
Movie,Sebastián Marcelo Wainraich,2018,TV-MA,49,January,26,2018
Movie,Into the Inferno,2016,TV-PG,107,October,28,2016
Movie,IO,2019,TV-14,96,January,18,2019
Movie,Steve Jobs,2015,R,122,January,16,2020
