show_id,type,title,release_year,rating,duration,month,date,year
70026468,Movie,Sam Kinison: Family Entertainment Hour,1991,TV-MA,49,December,31,2018
80017265,Movie,Don't Go Breaking My Heart 2,2014,TV-14,113,December,1,2018
81121183,Movie,NOVA: Killer Hurricanes,2017,TV-PG,52,July,1,2019
80226233,Movie,The Bros,2017,TV-14,102,February,2,2018
80244708,Movie,When Angels Sleep,2018,TV-MA,96,December,28,2018
80105690,Movie,The Lighthouse of the Orcas,2016,TV-MA,110,April,7,2017
81043343,Movie,You're Everything To Me,2016,TV-PG,107,February,15,2019
80226357,Movie,반드시 잡는다,2017,TV-MA,110,February,28,2018
80103424,Movie,Tiger,2016,TV-MA,98,March,1,2017
81132437,Movie,Kill Me If You Dare,2019,TV-14,100,September,6,2019
80192445,Movie,Heroin(e),2017,TV-14,40,September,12,2017
70211216,Movie,Kevin Hart: Laugh at My Pain,2011,R,89,October,1,2018
81044856,Movie,The Doll,2016,TV-MA,106,January,15,2019
70101375,Movie,The Boy in the Striped Pajamas,2008,PG-13,95,January,1,2019
80171659,Movie,To the Bone,2017,TV-MA,108,July,14,2017
70068799,Movie,Hattrick,2007,TV-14,109,November,1,2018
70044693,Movie,World Trade Center,2006,PG-13,129,November,20,2019
80032476,Movie,Happy Go Lucky,2014,TV-14,129,October,1,2018
80044126,Movie,D.L. Hughley: Clear,2014,TV-MA,59,July,13,2017
70021551,Movie,Aitraaz,2004,TV-14,153,March,1,2018
70233894,Movie,Act of Vengeance,2010,NR,112,September,29,2018
60024962,Movie,Biggie & Tupac,2002,R,108,January,26,2019
80184100,Movie,Set It Up,2018,TV-14,106,June,15,2018
80075009,Movie,Suburra,2015,NR,135,October,14,2015
80015280,Movie,Bibi & Tina,2014,TV-PG,97,April,15,2017
60002273,Movie,Along Came a Spider,2001,R,103,October,1,2019
80192815,Movie,Barbie Dolphin Magic,2017,TV-G,64,September,18,2017
81024494,Movie,Postcards from London,2018,TV-MA,90,February,19,2019
80135164,Movie,1922,2017,TV-MA,103,October,20,2017
80117263,Movie,The Mars Generation,2017,TV-PG,98,May,5,2017
80213148,Movie,27: Gone Too Soon,2017,TV-MA,70,May,1,2018
70306646,Movie,Creep,2014,R,78,July,14,2015
70307648,Movie,Trash,2014,R,114,January,1,2019
70204316,Movie,Lavell Crawford: Can a Brother Get Some Love?,2011,NR,81,August,2,2016
81004511,Movie,Studio 54,2018,TV-MA,99,February,16,2019
80049358,Movie,Steve Jobs,2015,R,122,January,16,2020
80157889,Movie,CRD,2016,TV-MA,110,April,29,2019
70062701,Movie,Bhagam Bhag,2006,TV-14,151,December,31,2019
80211623,Movie,Otherhood,2019,R,101,August,2,2019
70128549,Movie,Trailer Park Boys: Countdown to Liquor Day,2009,R,102,March,30,2018
81047798,Movie,Tinker',2018,TV-14,97,March,19,2019
855084,Movie,Philadelphia,1993,PG-13,126,July,1,2019
81085319,Movie,PATRICK (2019),2019,TV-PG,94,May,16,2019
81044857,Movie,The Doll 2,2017,TV-MA,117,January,15,2019
80168161,Movie,Creep 2,2017,TV-MA,80,December,23,2017
80082242,Movie,The Most Hated Woman in America,2017,TV-MA,93,March,24,2017
81167494,Movie,Expo,2019,TV-14,81,August,29,2019
80158844,Movie,Kingdom of Us,2017,TV-MA,110,October,13,2017
60032563,Movie,Kill Bill: Vol. 2,2004,R,137,January,1,2020
80177339,Movie,Motu Patlu: King of Kings,2016,TV-Y7-FV,109,July,6,2017
70021253,Movie,Haseena Maan Jaayegi,1999,TV-PG,151,March,1,2018
80201490,Movie,Dumplin',2018,PG-13,110,December,7,2018
80118916,Movie,Sand Castle,2017,TV-MA,113,April,21,2017
70112494,Movie,Brooklyn's Finest,2009,R,133,October,1,2018
81045509,Movie,Tim Allen: Men Are Pigs,1990,TV-14,30,December,31,2018
80081374,Movie,Un plus une,2015,TV-MA,114,August,1,2017
80148210,Movie,The Titan,2018,TV-MA,97,March,30,2018
80117080,Movie,Mercenary,2016,TV-MA,99,December,4,2016
80018296,Movie,Yellowbird,2014,PG,90,August,5,2015
80184135,Movie,Super Dark Times,2017,TV-MA,104,January,1,2018
80206917,Movie,The Music of Silence,2017,TV-PG,115,July,1,2018
80199689,Movie,Velvet Buzzsaw,2019,R,113,February,1,2019
80201829,Movie,Ankur Arora Murder Case,2013,TV-14,127,October,15,2017
60000209,Movie,The Talented Mr. Ripley,1999,R,139,January,1,2020
70121008,Movie,Road Trip: Beer Pong,2009,R,97,January,1,2020
80169801,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,2017,,37,January,26,2017
80144803,Movie,Barry,2016,TV-MA,105,December,16,2016
81131761,Movie,The Outsider,2019,TV-MA,86,September,15,2019
81047446,Movie,Pari,2018,TV-14,116,January,15,2019
80192136,Movie,Alejandro Riaño: Especial de stand up,2018,TV-MA,60,January,10,2018
80204460,Movie,Mubarakan,2017,PG-13,153,November,5,2017
80216302,Movie,Beats,2019,TV-MA,110,June,19,2019
60031232,Movie,Mystic River,2003,R,138,September,1,2019
80220758,Movie,Survivors Guide to Prison,2017,TV-MA,103,May,24,2018
80191557,Movie,Vitti Dandu,2014,TV-14,116,July,15,2017
80141858,Movie,LEGO Jurassic World: The Indominus Escape,2016,TV-Y7,25,October,4,2016
70301023,Movie,Tom Segura: Completely Normal,2014,TV-MA,74,July,13,2017
81215481,Movie,Pranaam,2019,TV-MA,117,November,25,2019
70254349,Movie,Himmatwala,2013,TV-14,140,November,1,2018
80187301,Movie,All The Reasons To Forget,2017,TV-MA,90,April,19,2018
80119193,Movie,Thunderbolt,1947,TV-14,42,March,31,2017
70230147,Movie,Exit Strategy,2012,NR,79,March,3,2019
80223230,Movie,No Entry,2005,TV-PG,161,March,1,2018
81155859,Movie,Kaake Da Viyah,2019,TV-PG,133,August,23,2019
1192866,Movie,Fallen,1998,R,124,November,1,2019
81026008,Movie,Ricardo Quevedo: Los amargados somos más,2019,TV-MA,59,April,3,2019
80139507,Movie,Famous in Ahmedabad,2015,TV-14,29,December,15,2016
80144448,Movie,Pink,2016,NR,130,January,20,2017
80997719,Movie,The Devil We Know,2018,TV-14,88,January,15,2019
80191081,Movie,DreamWorks Home: For the Holidays,2017,TV-Y7,46,December,1,2017
80244680,Movie,A Tale of Two Kitchens,2019,TV-G,30,May,22,2019
70043379,Movie,Initial D,2005,TV-14,109,August,1,2018
81049950,Movie,Hantu Kak Limah,2018,TV-14,110,January,31,2019
70122316,Movie,Blue Valentine,2010,R,112,July,5,2018
81043753,Movie,Sinister Circle,2017,TV-MA,87,October,1,2019
80105672,Movie,Road to Yesterday,2015,NR,96,July,1,2016
80192064,Movie,Luciano Mellera: Infantiloide,2018,TV-14,66,July,6,2018
81016408,Movie,5 Star Christmas,2018,TV-14,96,December,7,2018
80995799,Movie,Walk. Ride. Rodeo.,2019,TV-PG,100,March,8,2019
80164864,Movie,Candy Jar,2018,TV-14,93,April,27,2018
80083672,Movie,Barah Aana,2009,TV-14,95,December,31,2019
70040077,Movie,Hazaaron Khwaishein Aisi,2003,TV-MA,111,April,15,2019
80218656,Movie,Ravenous,2017,TV-MA,104,March,2,2018
80156856,Movie,We Are Family,2016,TV-MA,99,April,14,2017
81091381,Movie,Feo pero sabroso,2018,TV-MA,91,August,30,2019
80215923,Movie,The Hurricane Heist,2018,PG-13,103,September,26,2018
70251896,Movie,Lincoln,2012,PG-13,150,February,21,2018
81030755,Movie,The Last Resort,2018,TV-14,70,April,21,2019
80208413,Movie,Wrong Side Raju,2016,TV-MA,140,October,1,2017
81050191,Movie,Only Mine,2018,TV-14,88,January,15,2019
80015210,Movie,Ralphie May: Imperfectly Yours,2015,NR,69,June,29,2015
70221569,Movie,Power Rangers Samurai: Party Monsters (Halloween Special),2011,TV-Y7-FV,24,January,1,2016
80202809,Movie,Superlopez,2018,TV-14,108,March,24,2019
60032008,Movie,Pitaah,2002,TV-MA,127,March,1,2018
70303495,Movie,Phantom,2015,TV-14,129,October,1,2018
81016328,Movie,Garuda Di Dadaku,2009,TV-PG,96,October,9,2018
80203790,Movie,Teshan,2016,TV-PG,133,October,15,2017
80169548,Movie,Losing Sight of Shore,2017,TV-14,92,May,1,2017
80158481,Movie,Lal Patthar,1971,TV-PG,153,July,1,2017
70117902,Movie,Up in the Air,2009,R,110,January,1,2020
80196138,Movie,Not Alone,2017,TV-14,50,January,1,2018
80131376,Movie,"Rafał Banaś, Michał Leja Laugh out Loud",2016,TV-MA,64,September,19,2016
81067758,Movie,Candyflip,2017,TV-MA,104,February,15,2019
70302835,Movie,Killa,2014,TV-14,107,April,1,2017
80100268,Movie,Everything About Her,2016,TV-MA,127,March,14,2019
80118002,Movie,Udta Punjab,2016,TV-MA,146,January,1,2017
80068219,Movie,Colin Quinn: Unconstitutional,2015,TV-MA,56,August,15,2017
81006335,Movie,Super Monsters Back to School,2019,TV-Y,24,August,16,2019
80209153,Movie,Blood Money,2017,R,85,February,17,2018
80198056,Movie,Mustang Island,2017,TV-14,86,January,2,2018
81048551,Movie,"Sincerely Yours, Dhaka",2018,TV-MA,136,December,16,2019
60029178,Movie,Spy Kids 3: Game Over,2003,PG,83,April,1,2019
81035872,Movie,Amar's Hands,2011,TV-14,125,April,26,2019
81035858,Movie,Sameer Abu Alneel,2013,TV-14,107,June,6,2019
70306702,Movie,Zapped,2014,TV-G,92,February,1,2017
81149202,Movie,Why Me?,2015,TV-MA,126,December,1,2019
81038545,Movie,Mercy Black,2019,TV-14,88,March,31,2019
81034600,Movie,Shadow,2018,TV-MA,116,November,6,2019
