,이름,선거구,선거구명
501,신현자,경기,부천시 소사구
502,안병도,경기,부천시 오정구
503,원혜영,경기,부천시 오정구
504,서영석,경기,부천시 오정구
505,구자호,경기,부천시 오정구
506,정은숙,경기,광명시
507,백재현,,광명시
508,양순필,경기,광명시
509,문현수,경기,광명시
510,주대준,경기,광명시
511,이언주,경기,광명시
512,송백석,경기,광명시
513,이병렬,경기,광명시
514,원유철,경기,평택시
515,고인정,경기,평택시
516,최인규,경기,평택시
517,송치용,경기,평택시
518,유의동,경기,평택시
519,김선기,경기,평택시
520,,경기,평택시
521,김현래,경기,평택시
522,김성원,경기,동두천시 연천군
523,유진현,경기,동두천시 연천군
524,심동용,경기,동두천시 연천군
525,이화수,경기,안산시 상록구
526,,경기,안산시 상록구
527,박주원,경기,안산시 상록구
528,홍연아,경기,안산시 상록구
529,장경수,경기,안산시 상록구
530,홍장표,경기,안산시 상록구
531,김철민,경기,안산시 상록구
532,김영환,경기,안산시 상록구
533,김명연,경기,안산시 단원구
534,고영인,경기,안산시 단원구
535,김기완,경기,안산시 단원구
536,이영근,경기,안산시 단원구
537,박순자,경기,안산시 단원구
538,손창완,경기,안산시 단원구
539,부좌현,경기,안산시 단원구
540,이재용,경기,안산시 단원구
541,손범규,경기,고양시
542,박준,경기,고양시
543,심상정,경기,고양시
544,신지혜,경기,고양시
545,김태원,경기,고양시
546,정재호,경기,고양시
547,이균철,경기,고양시
548,송영주,경기,고양시
549,백성운,경기,고양시
550,유은혜,경기,고양시
551,장석환,경기,고양시
552,김영선,경기,고양시
553,김현미,경기,고양시
554,길종성,경기,고양시
555,박요찬,경기,의왕시 과천시
556,신창현,경기,의왕시 과천시
557,김도헌,경기,의왕시 과천시
558,김형탁,경기,의왕시 과천시
559,홍지숙,경기,의왕시 과천시
560,박창식,경기,구리시
561,윤호중,경기,구리시
562,정경진,경기,구리시
563,심장수,경기,남양주시
564,조응천,경기,남양주시
565,유영훈,경기,남양주시
566,이기원,경기,남양주시
567,이인희,경기,남양주시
568,김성태,경기,남양주시
569,김한정,경기,남양주시
570,표철수,,남양주시
571,권범재,경기,남양주시
572,주광덕,경기,남양주시
573,최민희,경기,남양주시
574,이진호,경기,남양주시
575,이권재,경기,오산시
576,안민석,경기,오산시
577,최웅수,경기,오산시
578,,경기,시흥시
579,백원우,경기,시흥시
580,임승철,경기,시흥시
581,이정우,경기,시흥시
582,이홍철,경기,시흥시
583,김순택,경기,시흥시
584,조정식,경기,시흥시
585,정필재,경기,시흥시
586,심규철,경기,군포시
587,김정우,경기,군포시
588,이환봉,경기,군포시
589,김동현,경기,군포시
590,금병찬,경기,군포시
591,이학영,경기,군포시
592,정기남,경기,군포시
593,김도현,경기,군포시
594,이현재,경기,하남시
595,문학진,경기,하남시
596,유형욱,경기,하남시
597,이우현,경기,용인시
598,백군기,경기,용인시
599,조성욱,경기,용인시
600,허명환,경기,용인시
601,김민기,경기,용인시
602,권오진,경기,용인시
603,김배곤,,용인시
604,한선교,경기,용인시
605,이우현,경기,용인시
606,임한수,경기,용인시
607,하태옥,경기,용인시
608,정익철,경기,용인시
609,이상일,경기,용인시
610,표창원,경기,용인시
611,김종희,경기,용인시
612,문예연,,용인시
613,정성근,경기,파주시
614,윤후덕,경기,파주시
615,김남현,경기,파주시
616,이재희,경기,파주시
617,황진하,경기,
618,박정,경기,파주시
619,류화선,경기,파주시
620,송석준,경기,이천시
621,엄태준,경기,이천시
622,이희규,경기,이천시
623,김학용,경기,안성시
624,이규민,경기,안성시
625,이상민,경기,안성시
626,허제욱,경기,안성시
627,김동식,경기,김포시
628,김두관,경기,김포시
629,홍철호,경기,김포시
630,정하영,경기,김포시
631,하금성,경기,김포시
