,이름,선거구,선거구명
1221,황우여,인천,서구
1222,정종복,경북,경주시
1223,변광용,경남,거제시
1224,유동수,인천,계양구
1225,윤호중,경기,구리시
1226,최진,광주,동구남구
1227,김윤덕,전북,전주시
1228,이철우,경북,김천시
1229,이덕욱,부산,부산진구
1230,추경호,대구,달성군
1231,강주열,경남,진주시
1232,노관규,전남,순천시
1233,박기준,울산,남구
1234,허명환,경기,용인시
1235,이장권,경남,양산시
1236,정용기,대전,대덕구
1237,곽태원,서울,용산구
1238,오세훈,서울,종로구
1239,박승호,경북,포항시 북구
1240,김성주,전북,전주시
1241,민홍철,경남,김해시
1242,조원진,대구,달서구
1243,김광종,서울,강남구
1244,안규백,서울,동대문구
1245,황인용,광주,동구남구
1246,백승주,경북,구미시
1247,정희수,경북,영천시
1248,이경자,대전,유성구
1249,백재현,경기,광명시
1250,문석호,충남,서산시 태안군
1251,노철래,경기,광주시
1252,전재수,부산,북구 강서구
1253,박종춘,서울,강서구
1254,김중권,경북,영양군 영덕군 봉화군 울진군
1255,최억청,경북,영주시
1256,이창섭,대전,대덕구
1257,심학봉,경북,구미시
1258,박영선,서울,구로구
1259,한용대,서울,성동구
1260,신언관,충북,청주시 청원구
1261,장석종,인천,서구 강화군
1262,안철수,서울,노원구
1263,심우범,서울,중랑구
1264,김동완,제주,제주시
1265,박태순,서울,종로구
1266,정직,서울,송파구
1267,한덕희,충남,부여군 청양군
1268,김정석,서울,동대문구
1269,황의돈,전북,남원시 순창군
1270,오정빈,서울,동대문구
1271,신동국,부산,사하구
1272,전재희,경기,광명시
1273,박상규,충북,증평군 진천군 괴산군 음성군
1274,이재숙,부산,수영구
1275,심상정,경기,고양시 덕양구
1276,이상득,경북,포항시 남구 울릉군
1277,강동원,전북,남원시 순창군
1278,박덕흠,충북,보은군 옥천군 영동군 괴산군
1279,김영희,부산,영도구
1280,유경영,경기,부천시 원미구
1281,경대수,충북,증평군 진천군 음성군
1282,이덕욱,부산,부산진구
1283,정범구,충북,증평군 진천군 괴산군 음성군
1284,신동우,서울,강동구
1285,정직,서울,송파구
1286,김철수,서울,노원구
1287,김수정,서울,중구 성동구
1288,정진섭,경기,광주시
1289,김성진,전북,전주시
1290,정영식,전남,목포시
1291,허준영,서울,노원구
1292,한기호,강원,철원군 화천군 양구군 인제군
1293,이석현,경기,안양시 동안구
1294,우상호,서울,서대문구
1295,조원진,대구,달서구
1296,김철근,서울,구로구
1297,이방호,경남,사천시 남해군 하동군
1298,윤형선,인천,계양구
1299,윤재옥,대구,달서구
1300,김준수,서울,종로구
1301,정재학,경기,광명시
1302,김현옥,전남,광양시 구 례군
1303,여유현,경기,용인시 처인구
1304,홍문종,경기,의정부시
1305,진영,서울,용산구
1306,김창희,경기,남양주시
1307,이대의,경기,성남시 중원구
1308,이희정,서울,용산구
1309,유승우,경기,이천시
1310,정용대,경기,안양시 만안구
1311,김홍득,경남,양산시
1312,이영순,울산,남구
1313,윤종군,경기,안성시
1314,윤건영,경기,용인시 수지구
1315,이병렬,경기,광명시
1316,이음재,경기,부천시 원미구
1317,권완수,서울,마포구
1318,김민철,경기,의정부시
1319,성순욱,서울,서초구
1320,김배곤,경기,용인시
1321,정오균,전남,순천시
1322,부좌현,경기,안산시 단원구
1323,최상면,경기,성남시 수정구
1324,이철우,경북,김천시
1325,박남현,경남,창원시 마산합포구
1326,최명길,서울,송파구
1327,이상훈,서울,서대문구
1328,이여신,경기,시흥시
1329,김성욱,서울,강남구
1330,박용진,서울,강북구
1331,정연중,서울,동작구
1332,유현주,전남,광양시 곡성군 구 례군
1333,지상욱,서울,중구 성동구
1334,오경석,부산,중구동구
1335,진성준,서울,강서구
1336,이형석,광주,북구
1337,박완수,경남,창원시 의창구
1338,류종수,강원,춘천시
1339,김왕규,경기,시흥시
1340,구자호,경기,부천시 오정구
1341,김한창,전남,목포시
1342,이현재,경기,하남시
1343,김영선,경기,고양시 일산서구
1344,심장수,경기,남양주시
1345,정직,서울,송파구
