이름,위치,선거구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,,영등포구
0,서울,
0,서울,
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,동작구
1,서울,동작구
0,서울,동작구
2,서울,동작구
0,서울,동작구
1,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,동작구
2,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,동작구
0,,동작구
0,서울,동작구
1,서울,동작구
0,서울,동작구
1,서울,동작구
1,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,동작구
2,,
0,서울,동작구
0,서울,동작구
0,서울,동작구
0,서울,관악구
0,서울,관악구
0,서울,관악구
1,서울,관악구
0,서울,관악구
1,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
1,서울,관악구
0,서울,관악구
2,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
1,서울,관악구
2,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
1,서울,관악구
1,서울,관악구
0,서울,
1,서울,관악구
1,서울,관악구
0,서울,서초구
0,서울,서초구
0,서울,서초구
1,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
1,서울,서초구
0,서울,서초구
2,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,강남구
1,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,
0,서울,강남구
0,서울,강남구
1,서울,강남구
0,서울,강남구
0,서울,강남구
1,서울,강남구
0,서울,강남구
2,서울,강남구
1,서울,강남구
0,서울,강남구
0,서울,
2,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,
0,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,강남구
1,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,강남구
0,서울,송파구
0,서울,송파구
0,,송파구
0,서울,송파구
1,서울,송파구
0,서울,송파구
0,서울,송파구
1,서울,송파구
1,서울,송파구
0,서울,송파구
1,서울,송파구
0,서울,
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
1,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
1,서울,송파구
0,서울,송파구
1,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
1,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,
0,서울,송파구
2,서울,강동구
0,서울,강동구
1,,강동구
1,서울,강동구
0,서울,강동구
0,서울,
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
1,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,
0,서울,강동구
0,서울,강동구
1,부산,중구
1,부산,중구
0,부산,중구
0,부산,중구
2,부산,중구
0,부산,중구
0,부산,중구
0,부산,중구
2,부산,중구
0,,중구
0,부산,중구
0,부산,중구
0,부산,중구
1,부산,중구
0,부산,서구
0,부산,서구
0,부산,서구
0,부산,서구
1,부산,서구
0,부산,서구
0,부산,서구
0,부산,서구
0,부산,
0,부산,서구
2,부산,서구
0,부산,서구
0,부산,서구
2,부산,서구
1,부산,서구
0,부산,서구
0,부산,서구
0,부산,서구
1,부산,동구
0,부산,동구
0,부산,동구
1,부산,동구
1,부산,동구
0,부산,동구
0,부산,동구
0,부산,동구
0,부산,동구
0,부산,동구
1,부산,동구
0,부산,동구
0,부산,동구
0,부산,동구
0,부산,동구
1,부산,동구
0,부산,동구
1,,동구
0,부산,영도구
1,부산,영도구
1,부산,영도구
0,부산,영도구
0,부산,
0,부산,영도구
0,부산,영도구
0,부산,
0,부산,영도구
1,부산,영도구
0,부산,영도구
0,부산,영도구
0,부산,영도구
0,부산,영도구
0,부산,영도구
0,부산,영도구
0,,영도구
2,부산,부산진구
0,부산,부산진구
2,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
1,부산,부산진구
0,부산,부산진구
0,부산,부산진구
1,부산,부산진구
0,부산,부산진구
0,부산,
0,부산,부산진구
0,부산,부산진구
1,부산,부산진구
0,부산,부산진구
0,부산,부산진구
2,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
2,부산,
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,동래구
1,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,
0,부산,동래구
0,부산,
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
1,부산,동래구
0,부산,동래구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
1,,남구
0,부산,남구
0,부산,남구
0,,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
0,부산,남구
1,부산,남구
0,부산,남구
1,부산,남구
0,부산,남구
2,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
1,부산,북구
0,부산,
0,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
0,부산,북구
1,부산,북구
0,부산,북구
0,부산,북구
2,부산,북구
0,부산,북구
0,부산,북구
1,부산,북구
0,부산,북구
0,부산,북구
1,부산,북구
0,부산,북구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
1,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,,해운대구
0,,해운대구
1,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
1,부산,해운대구
1,부산,해운대구
0,부산,해운대구
2,부산,
1,부산,해운대구
0,부산,해운대구
2,부산,해운대구
2,부산,해운대구
0,부산,해운대구
0,부산,해운대구
1,부산,해운대구
0,부산,해운대구
0,부산,
0,부산,해운대구
0,부산,해운대구
0,부산,해운대구
0,부산,기장군
0,부산,
0,부산,기장군
1,부산,기장군
1,부산,기장군
0,부산,기장군
0,부산,기장군
0,부산,기장군
0,부산,기장군
0,부산,기장군
1,부산,기장군
2,부산,기장군
1,,기장군
0,부산,
0,부산,기장군
0,,기장군
1,부산,기장군
0,부산,기장군
0,,사하구
0,부산,사하구
0,부산,사하구
0,부산,사하구
0,부산,사하구
0,부산,사하구
2,부산,사하구
0,부산,사하구
0,부산,사하구
0,부산,사하구
0,부산,사하구
1,부산,사하구
0,부산,사하구
0,부산,사하구
1,부산,사하구
2,부산,사하구
0,부산,사하구
2,부산,사하구
0,부산,사하구
0,부산,사하구
1,부산,사하구
2,부산,
0,,
0,부산,사하구
0,부산,사하구
0,부산,사하구
0,부산,사하구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
1,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,금정구
0,부산,
0,부산,금정구
0,,강서구
1,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,강서구
0,부산,연제구
0,부산,연제구
1,,연제구
2,부산,연제구
0,부산,연제구
0,부산,연제구
0,,연제구
0,부산,연제구
0,부산,연제구
1,부산,연제구
0,부산,
1,부산,연제구
0,부산,연제구
0,부산,연제구
2,부산,연제구
0,부산,연제구
0,부산,연제구
0,부산,연제구
2,부산,연제구
0,부산,연제구
0,부산,연제구
0,부산,연제구
1,부산,수영구
0,부산,수영구
1,부산,수영구
0,부산,수영구
1,부산,수영구
2,부산,수영구
0,부산,수영구
0,부산,수영구
0,,수영구
1,부산,수영구
0,부산,수영구
0,부산,수영구
0,부산,수영구
0,부산,수영구
0,부산,수영구
0,부산,수영구
0,부산,사상구
0,부산,사상구
0,부산,사상구
0,부산,사상구
0,부산,사상구
0,부산,사상구
1,,사상구
0,부산,사상구
0,부산,사상구
0,부산,
0,부산,사상구
0,부산,사상구
0,부산,사상구
0,부산,사상구
1,부산,사상구
0,부산,사상구
1,부산,사상구
0,부산,사상구
0,부산,사상구
0,부산,사상구
1,부산,사상구
0,부산,사상구
0,부산,사상구
0,대구,중구
0,,중구
0,대구,중구
0,,
1,대구,중구
0,대구,
0,대구,중구
1,대구,중구
1,대구,중구
0,대구,중구
2,대구,중구
0,대구,중구
0,대구,중구
0,대구,중구
0,대구,동구
2,대구,
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,
0,대구,동구
0,대구,동구
0,대구,동구
1,대구,
1,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,,동구
0,대구,동구
2,대구,동구
0,대구,서구
0,대구,서구
0,,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,
0,대구,서구
0,대구,서구
0,대구,서구
2,대구,서구
0,대구,
0,대구,
1,대구,남구
0,대구,남구
0,대구,남구
0,대구,남구
0,대구,남구
2,대구,남구
1,대구,남구
0,대구,남구
0,대구,남구
0,대구,남구
0,대구,남구
0,대구,북구
1,대구,북구
0,대구,북구
0,대구,북구
0,대구,북구
0,대구,북구
1,대구,북구
0,대구,북구
0,대구,북구
1,대구,
0,대구,북구
0,대구,북구
1,대구,북구
1,대구,북구
1,대구,북구
0,대구,북구
