성명,선거구1,선거구2,여당평가,당선여부,득표수(득표율),학력,과목,경력_지역,인지도,지역구분
,충남,천안시 동남구,74.43499999999997,False,-0.7320926391009741,,법,False,0.0014111838144524613,2
김동일,충남,공주시,74.43499999999997,True,0.3702432971398574,,행정,,0.00688032600070709,1
임남규,충남,공주시,74.43499999999997,False,-0.5128015013399184,,,False,0.012848941143602872,1
최훈,충남,공주시,74.43499999999997,True,-0.267171410728098,,,False,0.019785041724430068,
조길행,충남,공주시,74.43499999999997,False,-0.4789112707111567,,행정,False,0.00028446017044278434,1
이광수,,공주시,74.43499999999997,False,-1.7381520264834491,,행정,False,0.9602012309608172,1
김한태,충남,보령시,74.43499999999997,True,-0.16423049950740878,,경영,False,0.013117890281662074,1
편삼범,충남,보령시,74.43499999999997,False,-0.3870558125229455,,행정,True,0.003921598432656346,1
신재원,충남,보령시,74.43499999999997,False,-2.269520151423213,,,False,0.8463356153976427,1
이영우,충남,보령시,74.43499999999997,True,0.018158042288891518,,,False,0.12090408524630154,1
명성철,충남,보령시,74.43499999999997,False,,,행정,True,0.002920255888454232,1
,,보령시,74.43499999999997,False,-2.3310385223525443,,경영,False,0.01280055475328308,1
김영권,충남,아산시,74.43499999999997,True,0.2971403444139508,,행정,False,0.950601657617492,1
이기애,충남,아산시,74.43499999999997,False,-0.4096931069077491,,행정,False,0.00045482723699869415,1
여운영,충남,아산시,74.43499999999997,True,0.4201594401552264,,,False,,1
김응규,충남,,74.43499999999997,False,-0.7998297161326925,,행정,False,,1
김수겸,충남,아산시,74.43499999999997,False,-2.648603798201476,,,False,,1
,충남,아산시,74.43499999999997,True,0.6947856298614904,,,False,0.0006267169838281418,1
김남호,충남,아산시,74.43499999999997,False,-0.7975353541406309,,,False,0.03527633370691104,1
안장헌,충남,아산시,74.43499999999997,True,0.6592863878155705,,경제,False,0.0005251459552849614,1
심지연,충남,아산시,74.43499999999997,False,-1.1514280466674491,,,False,0.0017127810062767346,1
지용기,충남,아산시,74.43499999999997,False,-2.398188366773724,,,False,0.00026292533087744025,
장승재,충남,서산시,74.43499999999997,True,0.4786685121314593,,,False,0.0015127567325776351,1
김보희,충남,서산시,74.43499999999997,False,-1.1451608020445585,,행정,False,0.027818712608592276,1
,충남,서산시,74.43499999999997,False,-2.0504865394152763,,법,False,0.0012696588578594635,1
김영수,충남,서산시,74.43499999999997,True,0.15348525866790594,고려대,행정,True,0.09018587977349654,1
김종필,충남,서산시,74.43499999999997,False,-0.2885089971660649,,행정,False,0.8792129920274742,1
홍재표,충남,태안군,74.43499999999997,True,0.12519986108726036,,,False,0.07995818841771547,1
윤희신,,태안군,74.43499999999997,False,-0.2547582223316966,,경영,False,0.023946790438060608,
이정일,충남,태안군,74.43499999999997,False,-0.8305603558147013,,정치,True,0.6931187859097377,1
정광섭,충남,태안군,74.43499999999997,True,-0.6716159963549526,,,False,0.1533791858961779,1
강종국,충남,태안군,74.43499999999997,False,-0.7671541647143221,,,True,0.04959704933830818,1
김형선,충남,금산군,74.43499999999997,False,-0.5178659994483191,,,True,0.011714022235860095,1
김석곤,충남,,74.43499999999997,True,-0.4687764891520005,,,False,0.002065407287300268,1
황국연,충남,금산군,,False,-1.323845368991397,,,False,0.00026968890086905126,1
정효동,충남,금산군,74.43499999999997,False,-0.3739288109898978,,,,0.000597055491409643,1
김복만,충남,금산군,74.43499999999997,True,,,,,0.0066519952206508465,1
김태훈,충남,금산군,74.43499999999997,False,-2.299299634497667,,,False,0.9787018308639102,
오인환,충남,논산시,74.43499999999997,True,0.20522139231645808,,,False,0.34226599622837245,1
송덕빈,,논산시,74.43499999999997,False,,,,False,0.005925639028738888,1
조남용,충남,논산시,,False,-2.381014969800413,,행정,False,0.009054078232823923,1
김형도,충남,논산시,74.43499999999997,True,0.16960147118768146,,법,False,0.030005795540421525,1
이상구,충남,논산시,74.43499999999997,False,-0.35716761321252194,,,True,,1
,충남,계룡시,74.43499999999997,True,0.17253679151439866,,법,False,0.2521346260304089,1
김원태,충남,계룡시,74.43499999999997,False,-0.7537385869577797,,,True,0.08076468030899299,
조기성,충남,계룡시,74.43499999999997,False,-2.05932237067876,,,False,0.667100693660598,1
홍기후,충남,당진시,74.43499999999997,True,0.3540514181663476,연세대,경영,False,0.025437943135135102,2
정한영,충남,당진시,74.43499999999997,False,-0.9513120011534903,,,True,0.1995683808810306,2
오동원,충남,당진시,74.43499999999997,False,-2.1099896697886718,,법,False,0.021677667548205184,2
김명선,충남,당진시,74.43499999999997,True,0.5818129609784967,,,True,0.6960418948884348,2
김덕주,충남,당진시,74.43499999999997,False,-0.7169065697409788,,,False,0.05727411354719436,2
김기서,충남,부여군,,True,0.10018380978636936,고려대,경영,True,0.0008973788394357293,1
김태호,충남,부여군,74.43499999999997,False,-0.241575088304561,,행정,,0.9929290553737558,1
박황수,충남,,74.43499999999997,False,-0.5609956828466257,,,False,0.00018586317813878476,1
조길연,충남,부여군,74.43499999999997,True,-0.4197073602096468,,,False,0.0003354239426920678,
이두영,충남,부여군,74.43499999999997,False,-1.5443902132343719,,,False,0.005652278665977678,1
전익현,충남,서천군,74.43499999999997,True,0.8274752528714409,,경영,False,0.06650917250982417,1
조중연,충남,서천군,74.43499999999997,False,-1.0956115362288714,,,True,0.5405053672426161,1
양금봉,,서천군,74.43499999999997,True,-0.4354513168713472,,,False,0.05750528553088685,1
한경석,충남,서천군,74.43499999999997,False,-0.6374256844012022,연세대,행정,True,0.2291292031385817,
,충남,서천군,74.43499999999997,False,-1.2896824586048654,,,True,0.10635097157809116,1
조승만,충남,홍성군,74.43499999999997,True,-0.11889442366431745,,,False,0.0007724853250458887,1
이상근,충남,,,False,-0.38541921701258175,고려대,행정,False,0.045736345535096784,1
김기현,충남,홍성군,74.43499999999997,False,-2.201047637727969,,법,False,0.176765928368999,1
김경숙,충남,,74.43499999999997,False,-1.0592884963941491,,,False,0.7385123105211658,
이종화,충남,홍성군,74.43499999999997,True,-0.0897609792867325,,,True,0.038006214478611036,1
채승신,충남,홍성군,,False,-1.220742480443707,,,True,0.00020671577108146016,1
,충남,청양군,74.43499999999997,True,0.0565441731352731,,,False,0.8496791068158093,
