이름,선거구,선거구명,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
정도진,전북,정읍시,구시군의장선거,7,3,남,,57,정당인,74.43499999999997,False,,2
한병옥,전북,정읍시,구시군의장선거,7,3,남,rev,47,,74.43499999999997,False,,2
김용채,전북,,구시군의장선거,7,3,남,rem,64,,74.43499999999997,False,,2
강광,전북,정읍시,구시군의장선거,7,3,남,rem,81,,74.43499999999997,False,,2
이학수,전북,정읍시,구시군의장선거,7,3,남,rem,57,,74.43499999999997,False,,2
이환주,전북,남원시,구시군의장선거,7,1,남,rev,57,,74.43499999999997,True,,2
강동원,전북,남원시,구시군의장선거,7,3,남,rev,65,정당인,74.43499999999997,False,,2
박준배,전북,김제시,구시군의장선거,7,1,남,rev,62,정당인,74.43499999999997,True,,2
정성주,전북,김제시,구시군의장선거,7,3,남,rev,53,,74.43499999999997,False,,2
박성일,전북,완주군,구시군의장선거,7,1,남,rev,63,,74.43499999999997,True,,2
박재완,전북,완주군,구시군의장선거,7,3,남,rev,50,,74.43499999999997,False,,2
이항로,전북,진안군,구시군의장선거,7,1,남,rev,61,,74.43499999999997,True,,2
이충국,전북,진안군,구시군의장선거,7,3,남,rev,63,정당인,74.43499999999997,False,,2
박수우,전북,진안군,구시군의장선거,7,3,남,rem,38,,74.43499999999997,False,,2
백경태,전북,무주군,구시군의장선거,7,1,남,rev,56,정당인,74.43499999999997,False,,2
황인홍,전북,무주군,구시군의장선거,7,3,남,rem,62,,74.43499999999997,True,,2
장영수,전북,장수군,구시군의장선거,7,1,남,rev,50,정당인,74.43499999999997,True,,2
배한진,전북,장수군,구시군의장선거,7,3,남,rem,60,,74.43499999999997,False,,2
이영숙,전북,장수군,구시군의장선거,7,3,여,rem,62,,74.43499999999997,False,,2
김창수,전북,장수군,구시군의장선거,7,3,남,rem,64,,74.43499999999997,False,,2
전상두,전북,임실군,구시군의장선거,7,1,남,rev,61,정당인,74.43499999999997,False,,2
박기봉,전북,임실군,구시군의장선거,7,3,남,rem,63,,74.43499999999997,False,,2
심민,전북,임실군,구시군의장선거,7,3,남,rem,70,,74.43499999999997,True,,2
황숙주,전북,순창군,구시군의장선거,7,1,남,rev,70,,74.43499999999997,True,,2
홍승채,전북,순창군,구시군의장선거,7,3,남,rev,57,,74.43499999999997,False,,2
강인형,전북,순창군,구시군의장선거,7,3,남,rem,71,,74.43499999999997,False,,2
박우정,전북,고창군,구시군의장선거,7,1,남,rev,73,,74.43499999999997,False,,2
유기상,전북,고창군,구시군의장선거,7,3,남,rev,61,,,True,,2
권익현,전북,부안군,구시군의장선거,7,1,남,rev,57,정당인,74.43499999999997,True,,2
김경민,전북,부안군,구시군의장선거,7,3,남,con,63,정당인,74.43499999999997,False,,2
김상곤,전북,부안군,구시군의장선거,7,3,남,rev,48,,74.43499999999997,False,,2
김종규,전북,부안군,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,2
김종식,전남,목포시,구시군의장선거,7,1,남,rev,67,정당인,74.43499999999997,True,,2
박홍률,전남,목포시,구시군의장선거,7,3,남,rev,64,,74.43499999999997,False,,2
박명기,전남,목포시,구시군의장선거,7,3,남,rev,48,정당인,74.43499999999997,False,,2
김성남,전남,목포시,구시군의장선거,7,3,남,rem,44,정당인,74.43499999999997,False,,2
권세도,전남,여수시,구시군의장선거,7,1,남,rev,59,,74.43499999999997,False,,2
심정우,전남,여수시,구시군의장선거,7,2,남,con,58,,74.43499999999997,False,,2
권오봉,전남,여수시,구시군의장선거,7,3,남,rem,58,,74.43499999999997,True,,2
허석,전남,순천시,구시군의장선거,7,1,남,rev,53,,74.43499999999997,True,,2
이창용,전남,순천시,구시군의장선거,7,3,남,rem,68,,,False,,2
손훈모,전남,,구시군의장선거,7,3,남,rem,48,,74.43499999999997,False,,2
강인규,전남,나주시,구시군의장선거,7,1,남,rev,63,,74.43499999999997,True,,2
김대동,전남,나주시,구시군의장선거,7,3,남,rev,72,정당인,74.43499999999997,False,,2
김재무,전남,광양시,구시군의장선거,7,1,남,rev,58,정당인,74.43499999999997,False,,2
김현옥,전남,광양시,구시군의장선거,7,3,남,con,73,,74.43499999999997,False,,2
정현복,전남,광양시,구시군의장선거,7,3,남,rem,68,,74.43499999999997,True,,2
이옥재,전남,광양시,구시군의장선거,7,3,남,rem,,,74.43499999999997,False,,2
최형식,전남,담양군,,7,1,남,rev,62,,74.43499999999997,True,,2
강승환,전남,담양군,구시군의장선거,7,3,남,con,59,,74.43499999999997,False,,2
신동호,전남,담양군,구시군의장선거,7,3,남,rem,61,,74.43499999999997,False,,2
김현석,전남,담양군,구시군의장선거,,3,남,rem,47,,74.43499999999997,False,,2
전정철,전남,담양군,구시군의장선거,7,3,남,rem,60,,74.43499999999997,False,,2
윤시석,전남,장성군,구시군의장선거,7,1,남,rev,56,정당인,74.43499999999997,False,,2
유두석,전남,장성군,구시군의장선거,7,3,남,rem,68,,74.43499999999997,True,,2
유근기,전남,곡성군,구시군의장선거,7,1,남,rev,55,,74.43499999999997,True,,2
조상래,전남,곡성군,구시군의장선거,7,3,남,rev,60,정당인,74.43499999999997,False,,2
박웅두,전남,곡성군,구시군의장선거,7,3,남,rev,49,,74.43499999999997,False,,2
강대광,전남,곡성군,구시군의장선거,7,3,남,rem,55,,74.43499999999997,False,,2
김순호,,구례군,구시군의장선거,7,1,남,rev,55,정당인,74.43499999999997,True,,2
박인환,전남,구례군,구시군의장선거,7,3,남,rev,67,정당인,74.43499999999997,False,,2
전경태,전남,구례군,구시군의장선거,7,3,남,rem,70,,74.43499999999997,False,,2
공영민,전남,고흥군,구시군의장선거,7,1,남,rev,64,정당인,74.43499999999997,False,,2
송귀근,전남,고흥군,구시군의장선거,7,3,남,rev,61,정당인,74.43499999999997,True,,2
김철우,전남,보성군,구시군의장선거,7,1,남,rev,53,,74.43499999999997,True,,2
변재면,전남,보성군,구시군의장선거,7,3,남,rem,63,,74.43499999999997,False,,2
박남일,전남,보성군,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,2
하승완,전남,보성군,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,2
구충곤,전남,화순군,구시군의장선거,7,1,남,rev,59,,74.43499999999997,True,,2
임호경,전남,화순군,구시군의장선거,7,3,남,rev,66,정당인,74.43499999999997,False,,2
박병동,전남,장흥군,구시군의장선거,7,1,남,rev,61,정당인,74.43499999999997,False,,2
조재환,전남,장흥군,구시군의장선거,7,3,남,rem,58,,74.43499999999997,False,,2
정종순,전남,장흥군,구시군의장선거,7,3,남,rem,63,,74.43499999999997,True,,2
이승옥,전남,강진군,구시군의장선거,7,1,남,rev,61,정당인,74.43499999999997,True,,2
곽영체,전남,강진군,구시군의장선거,7,3,남,rev,70,정당인,74.43499999999997,False,,2
장경록,전남,강진군,구시군의장선거,7,3,남,rem,62,,74.43499999999997,False,,2
신우철,전남,완도군,구시군의장선거,7,1,남,rev,65,,74.43499999999997,True,,2
박삼재,전남,완도군,구시군의장선거,7,3,남,rev,63,정당인,74.43499999999997,False,,2
이길운,전남,해남군,구시군의장선거,7,1,남,rev,52,정당인,74.43499999999997,False,,2
명현관,전남,해남군,구시군의장선거,7,3,남,rev,55,정당인,74.43499999999997,True,,2
이정우,전남,해남군,구시군의장선거,7,3,남,rem,58,,74.43499999999997,False,,2
이동진,전남,진도군,구시군의장선거,7,1,남,rev,72,,74.43499999999997,True,,2
장일,전남,진도군,구시군의장선거,7,3,남,rev,61,정당인,74.43499999999997,False,,2
김희수,전남,진도군,구시군의장선거,7,3,남,rem,62,,74.43499999999997,False,,2
