이름,선거구,선거구명,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,학교,과목,인지,지역구분
,서울,성북구,국회의원,,2,남,rev,50,정당인,42.84,True,-0.449149241716393,,,0.2969716965454671,2
김인원,서울,성북구,국회의원,20,3,남,rev,53,,42.84,False,-1.3032214328065923,,법,0.007479557666941069,2
박창완,서울,성북구,국회의원,20,3,남,rev,57,,42.84,False,-3.834251536795892,,법,0.0019507202225960527,2
이경애,서울,성북구,국회의원,20,3,여,rem,56,,42.84,False,-3.3852092520885217,,,0.2982612450379631,2
양규현,서울,성북구,국회의원,20,3,남,rem,55,,42.84,False,-4.430141260075477,,,0.0018860242793249317,2
정양석,서울,강북구,국회의원,20,1,남,con,57,정당인,42.84,True,-0.4472621072552373,,정치,0.1559246476393191,2
천준호,서울,강북구,국회의원,20,2,남,rev,45,정당인,42.84,False,-0.6533477531662625,,행정,0.06735666534136935,2
김기옥,서울,강북구,국회의원,20,3,여,rev,50,,42.84,False,-1.0752511548413102,,정치,0.03237264686335011,2
안홍렬,서울,강북구,국회의원,20,1,남,con,57,,42.84,False,-0.6313689395010238,서울대,법,0.02706930891847887,2
박용진,서울,강북구,국회의원,20,2,남,rev,44,정당인,42.84,True,0.016256054335577266,,행정,0.7124032273237787,2
조구성,서울,,국회의원,20,3,남,rev,60,,42.84,False,-1.853592471826009,,,0.004873503913703846,2
이재범,서울,도봉구,국회의원,20,1,남,con,60,,42.84,False,-0.4457132617651315,서울대,법,0.047715849776464175,2
인재근,서울,도봉구,국회의원,20,2,여,rev,62,,42.84,True,0.3556710285848652,,,0.2259594259135687,2
김선동,서울,도봉구,국회의원,20,1,남,con,52,정당인,42.84,True,-0.2762604886496081,고려대,정치,0.6149769809314756,2
오기형,서울,도봉구,국회의원,20,2,남,rev,,,42.84,False,,,법,0.0922812770737974,2
손동호,서울,도봉구,국회의원,,3,남,rev,59,정당인,42.84,False,-1.4113383882959234,고려대,,0.019066466304694173,2
이노근,서울,노원구,국회의원,20,1,남,con,62,,42.84,False,-0.4500269125056252,,행정,0.002812369488714638,2
고용진,서울,노원구,국회의원,20,2,남,rev,51,정당인,42.84,True,-0.3504214861781612,서울대,,0.004249094923242845,2
이형남,서울,노원구,국회의원,20,3,남,rev,58,정당인,42.84,False,-1.4751090960593018,,경영,,2
홍범식,서울,노원구,국회의원,20,1,남,con,51,,42.84,False,-0.8684524657206565,서울대,법,0.0008640637504034851,2
우원식,서울,노원구,국회의원,20,2,남,rev,58,정당인,42.84,True,0.055814616349498566,연세대,,0.026673553979372742,2
황상모,서울,노원구,국회의원,20,3,남,rev,57,,42.84,,-1.5189245539311294,,경영,0.0001590319534181619,2
이준석,서울,노원구,국회의원,20,1,남,con,31,정당인,42.84,False,-0.7940452220384064,,경제,0.2081782947127794,2
황창화,서울,노원구,국회의원,20,2,,rev,57,정당인,42.84,False,-1.8273066158330389,연세대,,0.0018039377269139444,2
안철수,서울,노원구,국회의원,20,3,남,rev,54,,,True,0.08007361240968991,서울대,,0.7545798764994187,2
주희준,서울,노원구,국회의원,20,3,남,rev,48,정당인,42.84,False,-3.975373615627328,,,0.00026075024331092183,2
,서울,노원구,국회의원,20,3,남,rem,54,,42.84,False,-5.970855913257589,,,0.00011948822038599028,2
정태흥,서울,노원구,국회의원,20,3,남,rem,44,,42.84,False,-5.8629352006251025,고려대,법,9.827582761364938e-05,2
최홍재,서울,은평구,국회의원,20,1,남,con,47,정당인,42.84,False,-0.5405982659217393,고려대,,0.0052950011279686215,2
박주민,서울,은평구,국회의원,20,2,남,rev,42,,42.84,True,,서울대,법,0.4176012754054099,2
최승현,서울,은평구,국회의원,20,3,남,rev,40,,42.84,False,-3.24029442527154,,법,0.07951994505896144,2
강병원,서울,은평구,국회의원,20,2,남,rev,44,정당인,42.84,True,-0.5920809572972257,서울대,경제,0.06911220452876142,2
고연호,서울,은평구,국회의원,20,3,여,rev,52,정당인,42.84,False,-1.013771396508678,고려대,경영,0.009323255100541909,2
