이름,선거구,선거구명,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,학교,과목,인지,지역구분
유영민,부산,해운대구,국회의원,20,2,남,rev,64,,42.84,False,-0.3971720576456675,,,0.07178742402819399,1
이병구,부산,해운대구,국회의원,20,3,남,rev,46,정당인,42.84,False,-2.7079762065037816,,,0.0031418923096332768,1
문만길,부산,해운대구,국회의원,20,3,남,rem,60,,42.84,False,-4.772995931382434,,경영,0.0003543746105275523,1
배덕광,부산,해운대구,국회의원,20,1,남,con,67,,42.84,True,-0.045659559540101716,,경영,0.04064525706958221,1
윤준호,부산,해운대구,국회의원,20,2,남,rev,48,,42.84,False,-0.5759634906185017,,,0.059763434894751125,1
최선명,부산,해운대구,국회의원,20,3,남,rem,25,,42.84,False,-1.852689849937848,,,0.003200945031642173,1
김척수,부산,사하구,국회의원,20,1,남,con,53,정당인,42.84,False,-0.2101342563260615,,행정,0.0074460797424438984,1
최인호,부산,사하구,국회의원,20,2,남,rev,49,정당인,42.84,True,-0.05344619823075433,,정치,0.06647800646022675,1
전창섭,부산,사하구,국회의원,20,3,남,rem,47,,42.84,,-4.151743602511129,,,0.0005392493247371963,1
박경민,부산,사하구,,20,3,남,rem,40,,42.84,False,-4.895411480834794,,,0.020769566751635743,1
박태원,부산,사하구,국회의원,20,3,남,rem,25,,42.84,False,-3.52836152578408,,,0.031859894796947334,1
조경태,부산,사하구,국회의원,20,1,남,con,48,,42.84,True,0.3631923516835904,,,0.16849406960778388,1
오창석,부산,사하구,국회의원,20,2,남,rev,29,정당인,42.84,False,-1.0375471661670022,,정치,0.6951569373228194,1
배관구,부산,사하구,국회의원,20,3,남,rev,28,정당인,42.84,False,-2.1750805941585893,고려대,행정,0.002788490061516895,1
유홍,부산,사하구,국회의원,20,3,남,rev,,,42.84,False,-4.067859489910512,,,0.0006093051422743995,1
안중영,부산,사하구,국회의원,20,3,남,rem,56,,42.84,False,-4.592094415284568,,,0.00047181654429080086,1
최지웅,부산,사하구,국회의원,20,3,남,rem,43,,42.84,False,-4.776574488320894,,경영,0.005386584245323679,1
김세연,부산,금정구,국회의원,20,1,남,con,43,,42.84,True,0.2256914606753979,서울대,경제,0.7557949731165551,1
박종훈,부산,금정구,국회의원,20,2,남,rev,32,,42.84,False,-0.743397047845591,,법,0.2403299876779381,1
노창동,부산,금정구,국회의원,20,3,남,rev,53,정당인,42.84,False,-2.1493665036893503,서울대,법,0.0038750392055069438,1
김희정,부산,연제구,국회의원,20,1,여,con,45,,42.84,False,-0.09948220275643377,연세대,정치,0.9202213793988472,1
김해영,부산,연제구,국회의원,20,2,남,rev,39,,42.84,,0.026570809254062216,,법,0.079778620601153,1
유재중,부산,수영구,국회의원,20,1,남,con,60,,42.84,True,0.0641898326501698,,법,0.6059900101226113,1
김성발,부산,수영구,국회의원,20,2,남,rev,55,정당인,42.84,False,-1.0806954928597672,,,0.0615613744200484,1
배준현,부산,수영구,국회의원,20,3,남,rev,43,정당인,42.84,False,-1.2968421429048724,,정치,0.3324486154573403,1
손수조,부산,사상구,국회의원,20,1,여,con,31,정당인,42.84,False,-1.0313015427719547,,,0.032906522648593735,1
배재정,부산,사상구,국회의원,20,2,여,rev,48,,42.84,False,-0.6005467592410163,,,0.037176915138754534,1
장제원,부산,사상구,국회의원,20,3,,rem,49,,42.84,True,-0.530740618465327,,,0.9299165622126516,1
윤상직,부산,기장군,국회의원,20,1,남,con,59,정당인,42.84,True,-0.36445243985063736,서울대,,0.4368491456550507,1
조용우,부산,기장군,국회의원,20,2,남,rev,49,정당인,42.84,False,-0.7356278284999704,,,0.11569934940755253,1
이창우,부산,기장군,국회의원,20,3,남,rev,54,,42.84,False,-2.8539418844008164,,,0.4202728403797569,1
박견목,부산,기장군,국회의원,20,3,남,rem,54,,42.84,False,-1.3985405264085933,,행정,0.027178664557639884,1
곽상도,대구,중구남구,국회의원,20,1,남,con,56,,42.84,True,,,법,0.6175606026562404,1
김동열,대구,중구남구,국회의원,20,2,남,,48,,42.84,False,,,경제,0.009251864635259092,1
최창진,대구,중구남구,국회의원,20,3,남,rev,34,,42.84,False,,,,0.007585907356757055,1
김구,대구,중구남구,국회의원,20,3,남,rem,53,,42.84,False,,,,0.3617329875727059,1
박창달,대구,중구남구,국회의원,20,3,남,rem,70,,42.84,False,,,행정,0.003868637779037709,1
정종섭,대구,동구,국회의원,20,1,남,con,58,정당인,42.84,True,-0.07109891590800772,연세대,법,0.008981120501999016,1
황순규,대구,동구,국회의원,20,3,남,rem,35,정당인,42.84,False,-2.7183795376160926,,,0.00035196193480227885,1
성용모,대구,동구,국회의원,20,3,남,rem,55,,42.84,False,-4.227445228950429,,경영,0.00012571460582177024,1
류성걸,대구,동구,국회의원,20,3,남,rem,58,,42.84,False,-0.3047139430979564,,경제,0.006066530597652365,1
이승천,대구,동구,국회의원,20,2,남,rev,54,,42.84,False,-1.2198961777440038,,법,0.002550009441141165,1
유승민,대구,동구,국회의원,20,3,남,rem,58,,42.84,True,0.903737385859844,,경제,0.9819246629185836,1
김상훈,대구,서구,국회의원,20,1,남,con,53,,42.84,True,,,행정,0.5887240423575496,1
서중현,대구,서구,,20,3,남,rem,,,42.84,False,,,,0.01918919430819296,1
손창민,대구,서구,,20,3,남,rem,49,,42.84,False,,,행정,0.3920867633342575,1
정태옥,대구,북구,국회의원,20,1,남,con,54,정당인,42.84,True,0.11444031850684296,고려대,법,0.3229236315529192,1
이현주,대구,북구,국회의원,20,2,여,rev,50,정당인,42.84,False,-1.950306904105752,,,0.23855172958710796,1
최석민,대구,북구,국회의원,20,3,남,rev,55,,42.84,False,-2.299588836070811,,,0.0021567278286016654,1
권은희,대구,북구,국회의원,20,3,여,rem,56,,42.84,False,-1.155015904253336,서울대,,0.2990205496834448,1
양명모,대구,북구,국회의원,20,1,남,con,56,,42.84,False,-0.4670920658641512,,,0.005147862792870716,1
,대구,북구,국회의원,20,3,남,rev,51,,42.84,False,-2.438274989062585,,정치,0.04184922505244819,1
박하락,대구,북구,국회의원,20,3,남,rem,54,,42.84,False,-5.324972430296163,,행정,0.0004139009873116815,1
홍의락,대구,북구,국회의원,20,3,남,rem,61,,42.84,True,0.06587334745567269,고려대,경제,0.08993637251529575,1
김문수,대구,수성구,,20,1,남,con,64,정당인,42.84,False,-0.5162996649217507,서울대,경영,0.2917058492328523,1
김부겸,대구,수성구,국회의원,20,2,남,rev,58,정당인,42.84,True,0.4796673009975844,서울대,정치,0.4814828406595651,1
이인선,대구,수성구,국회의원,20,1,여,con,56,,42.84,False,-0.621301065265175,,,0.03073280620686585,1
정기철,대구,수성구,국회의원,20,2,남,rev,,,42.84,False,-1.5538149517994309,서울대,,0.002108533104065205,1
주호영,대구,수성구,국회의원,20,3,남,rem,55,,42.84,True,-0.15452809172964818,,법,0.1939699707966515,1
곽대훈,대구,달서구,국회의원,20,1,남,con,60,정당인,42.84,True,0.7250630597298781,서울대,행정,0.009325528633585059,1
변홍철,대구,달서구,국회의원,20,3,남,rem,47,,,False,-0.893578214574277,고려대,,0.001191279424205418,1
윤재옥,대구,달서구,국회의원,20,1,남,con,54,,42.84,True,0.5206162484781179,,법,0.013455335738438422,1
김태용,대구,달서구,국회의원,20,2,남,rev,54,,42.84,False,-0.6340771168855801,,,0.09468353024255947,1
조원진,대구,달서구,국회의원,20,1,남,con,57,,42.84,True,0.5688959985260106,,행정,0.878266503706184,1
김부기,대구,달서구,국회의원,20,3,남,rem,59,정당인,42.84,False,-2.2646594986873505,,행정,0.0021925504002440364,1
조석원,대구,달서구,국회의원,20,3,남,rem,34,,42.84,False,-1.2016189488814872,,,,1
추경호,대구,달성군,국회의원,20,1,남,,55,정당인,42.84,True,-0.10696745083114434,고려대,경영,0.4020970544118159,1
조기석,대구,달성군,국회의원,20,2,남,rev,56,정당인,42.84,False,-1.7758414154768054,,경영,,1
조정훈,대구,달성군,국회의원,20,3,남,rem,41,,42.84,False,-2.8099847805872518,,,0.471809699218163,1
구성재,대구,달성군,국회의원,20,3,남,rem,55,,42.84,False,-0.8025032653796854,,,0.0213738296854748,1
배준영,인천,중구 동구 강화군 옹진군,국회의원,20,1,남,con,45,정당인,42.84,False,,연세대,정치,0.0570362572220545,1
김회창,인천,중구 동구 강화군 옹진군,국회의원,20,3,남,rev,56,,42.84,False,,,행정,0.0042332402150147405,1
조택상,인천,중구 동구 강화군 옹진군,국회의원,20,3,남,rev,57,,42.84,False,,,행정,0.03454142720452155,1
안상수,인천,중구 동구 강화군 옹진군,국회의원,20,3,남,rem,69,,42.84,True,,서울대,경영,0.9041890753584092,1
홍일표,인천,남구,,20,1,남,con,60,,42.84,True,-0.23148247530372465,,법,0.07509589512748893,1
허종식,인천,남구,국회의원,20,2,남,rev,54,정당인,42.84,False,-0.6176808048036774,,,,1
김충래,인천,남구,국회의원,20,3,남,rev,53,,42.84,False,-1.4240539412911175,연세대,법,0.0006098156114300834,1
김정심,인천,남구,국회의원,20,1,여,con,55,정당인,42.84,False,-2.1464574011837074,,행정,0.0027911471005964447,1
안귀옥,인천,남구,국회의원,20,3,여,rev,58,,42.84,False,-1.273805715967427,고려대,법,0.0019530056139981976,1
김성진,인천,남구,국회의원,20,3,남,rev,56,정당인,42.84,False,-1.463534840794914,,,0.033410105102821365,1
윤상현,인천,남구,국회의원,20,3,남,rem,53,,42.84,True,-0.10435518733348348,,,0.8803773205106115,1
정승연,인천,연수구,국회의원,20,1,남,con,49,,42.84,False,-0.4117359781182547,,경제,0.09241896996087584,1
박찬대,인천,연수구,국회의원,20,2,남,rev,48,,42.84,True,-0.3998247093414289,서울대,경영,0.03543865474601937,1
진의범,인천,연수구,국회의원,20,3,남,rev,55,정당인,42.84,False,-1.4542826129190907,,법,0.0012095730774604769,1
민경욱,인천,연수구,국회의원,20,1,남,con,52,정당인,42.84,True,-0.24487577424670764,,행정,0.8637787909696502,1
윤종기,인천,연수구,국회의원,20,2,,rev,57,정당인,42.84,False,-0.545763675127271,고려대,행정,0.0049299503708806255,1
한광원,인천,연수구,국회의원,20,3,남,rev,59,,42.84,False,-1.4897667811814856,서울대,경영,0.0022240608751135683,1
문대성,,남동구,국회의원,20,1,남,con,39,,42.84,False,-0.7164311812643026,,,0.0763705002332816,2
박남춘,인천,,국회의원,20,2,남,rev,57,,42.84,True,0.0025535151104376587,,,0.11910377887932712,2
김명수,인천,남동구,국회의원,20,3,남,rev,52,정당인,42.84,False,-1.7680964162554929,,,0.769388966260082,2
임동수,인천,남동구,국회의원,20,3,남,rem,53,,42.84,False,-4.171289509498841,서울대,,0.002776917098855853,2
조전혁,인천,남동구,국회의원,20,1,남,con,55,,42.84,False,-0.3618670584044437,고려대,경제,0.01035012105163945,2
윤관석,인천,남동구,국회의원,20,2,남,rev,55,정당인,42.84,True,0.17895840276822833,,,0.020786843861125504,2
송기순,인천,남동구,국회의원,20,3,여,rem,51,정당인,42.84,False,-3.6130598121335114,,,0.0012228726156886375,
정유섭,인천,부평구,국회의원,20,1,남,con,61,정당인,42.84,True,-0.6708764630744368,고려대,행정,0.3123199065408521,2
이성만,인천,부평구,국회의원,20,2,남,rev,54,정당인,42.84,False,-1.0252012756795832,연세대,,,2
문병호,인천,부평구,국회의원,20,3,남,rev,56,,42.84,False,-0.6718061471836808,서울대,법,0.2436685072168968,2
조진형,인천,부평구,국회의원,20,3,남,rem,73,,42.84,False,-2.9827583690011847,,경제,0.0134622254125346,2
강창규,인천,부평구,국회의원,20,1,남,con,61,정당인,42.84,False,-0.8022156445902648,,행정,0.006754996056752205,2
홍영표,인천,부평구,국회의원,20,2,남,rev,58,,42.84,True,-0.26845764228509744,,행정,0.384644930077174,2
이현웅,인천,부평구,국회의원,20,3,남,rev,45,,42.84,False,-1.1146183700803962,연세대,법,0.025293706574401463,2
오성규,인천,계양구,국회의원,20,1,남,con,62,정당인,42.84,False,-0.5665119550561738,연세대,행정,0.010348011386227993,2
유동수,인천,계양구,국회의원,20,2,남,rev,54,,42.84,True,-0.28519345718042904,연세대,경영,0.04738060258676443,2
이수봉,인천,계양구,국회의원,20,3,남,rev,54,,42.84,False,-1.4130391802079674,고려대,,0.01807647136215026,2
윤형선,인천,계양구,국회의원,20,1,남,con,55,,42.84,False,-0.8014439790712221,고려대,,0.012298765608970304,2
송영길,인천,계양구,국회의원,20,2,남,rev,53,,42.84,True,-0.2865876305433886,연세대,경영,0.881808616353386,2
최원식,인천,계양구,국회의원,20,3,남,rev,53,,42.84,False,-1.0882259938795371,서울대,법,0.030087532702501123,2
이학재,인천,,국회의원,20,1,남,con,51,,42.84,True,-0.2398302453567148,,경제,0.2886054833457033,3
김교흥,인천,서구,국회의원,20,2,남,rev,55,,42.84,False,-0.4950989532158278,,정치,0.08769156611077786,3
유길종,인천,서구,국회의원,20,3,남,rev,54,정당인,42.84,False,-1.7561530077262002,연세대,행정,0.006823402091708474,3
안생준,인천,서구,국회의원,20,3,남,rem,67,,42.84,False,-3.6942737812262547,,,0.0027949266490029452,3
황우여,인천,서구,국회의원,20,1,남,con,68,,42.84,False,-0.5102767908137944,서울대,법,0.21399639529834127,3
신동근,인천,서구,국회의원,20,2,남,rev,54,,42.84,True,-0.18605576832182796,서울대,,0.10558828204055944,3
허영,인천,서구,국회의원,20,3,남,rev,54,,42.84,False,-1.6534471347739668,,,0.29449994446390665,3
한경노,광주,동구남구,국회의원,20,1,남,con,55,정당인,42.84,False,-3.736488182518965,,경영,0.0007268398565834157,2
최진,광주,동구남구,국회의원,20,2,남,rev,56,,42.84,False,-0.908496421245768,고려대,행정,0.5209790503529141,2
장병완,광주,동구남구,국회의원,20,3,남,rev,63,,42.84,True,0.20596001408636155,서울대,,0.027552294709955176,2
신나리,광주,동구남구,국회의원,20,3,여,rem,27,,,False,-3.418895202617908,,,0.02456979230544573,2
강도석,광주,동구남구,국회의원,,3,남,rem,61,,42.84,False,-3.7957082845525933,,,0.0030350587572355358,2
강운태,광주,동구남구,국회의원,20,3,남,rem,67,,42.84,False,-2.504068757067142,서울대,정치,0.012828089518071009,2
문충식,광주,동구남구,국회의원,20,1,남,con,57,,42.84,False,-3.5682666660882054,,,0.0004797047713947125,2
,광주,동구남구,국회의원,20,2,남,rev,59,정당인,42.84,False,-0.44957050389546177,,행정,0.16474574629931307,2
박주선,광주,동구남구,국회의원,20,3,남,rev,66,,42.84,True,0.16130750933397126,서울대,행정,0.13405410990289265,2
황인용,광주,동구남구,국회의원,20,3,남,rem,26,,42.84,False,-3.464717343006662,,,0.11102931352619463,2
양병현,광주,서구,국회의원,20,1,남,con,61,,42.84,False,-3.627128401087568,,,0.0003083848274113269,2
송갑석,광주,서구,국회의원,20,2,남,rev,49,정당인,42.84,False,-0.6163117498119612,,경영,0.014189426044409285,2
송기석,광주,서구,국회의원,20,3,남,rev,52,,42.84,True,0.2335551475968061,,법,0.042887068168489986,2
장화동,광주,서구,국회의원,20,3,남,rev,53,,42.84,False,-3.7845275288361577,,,0.0002198679408354399,2
이은주,광주,서구,국회의원,20,3,여,rem,44,정당인,42.84,False,-3.300156156462087,,,0.7132414295213975,
김연욱,광주,서구,국회의원,20,1,남,con,49,,42.84,False,-3.6984208493270936,,정치,0.0008768031364234044,2
양향자,광주,서구,국회의원,20,2,여,rev,49,정당인,42.84,False,-0.7873556314999276,,,0.1035357214878258,2
천정배,광주,서구,국회의원,20,3,남,rev,61,,42.84,True,0.16634156041999754,서울대,법,0.102634525204765,2
강은미,광주,서구,국회의원,20,3,여,rev,45,정당인,42.84,False,-2.8169914995404763,,,0.011824053603423,2
고기담,광주,서구,국회의원,,3,남,rem,48,정당인,42.84,False,-4.286755113916101,,,0.0005140622594547988,2
김하중,광주,서구,국회의원,20,3,남,rem,55,,42.84,False,-3.060133295883372,고려대,법,0.009768657805564395,2
정준호,광주,북구,국회의원,20,2,남,rev,35,,42.84,False,,서울대,법,0.4596923582762834,2
김경진,광주,북구,국회의원,20,3,남,rev,49,,42.84,True,0.8444312518583432,고려대,법,0.2641877158376889,2
장세레나,광주,북구,국회의원,20,3,여,rem,45,,42.84,False,-3.4383903642564064,,,0.00020726019009423413,2
박대우,광주,북구,국회의원,20,3,남,rem,48,,42.84,False,-3.598876906482601,,행정,0.00043117808653658264,2
이인호,광주,북구,국회의원,20,1,남,con,52,,42.84,False,-3.764347375505938,,,0.010380388143359056,2
이형석,광주,북구,,20,2,남,rev,54,정당인,42.84,False,-0.6058680124540244,,정치,0.01663323099872929,2
최경환,광주,북구,국회의원,20,3,남,rev,56,,42.84,True,0.19650952174627226,,,0.2397969819314225,2
윤민호,광주,북구,국회의원,20,3,남,rem,45,정당인,42.84,False,-3.1873491404706145,,,0.002591612267384932,2
노남수,광주,북구,국회의원,20,3,남,rem,46,,42.84,False,-3.871503134348027,,,0.0009928253797584627,2
이영수,광주,북구,국회의원,20,3,남,rem,64,,42.84,False,-4.803577662607191,,,0.005086448888742481,2
정윤,광주,광산구,국회의원,20,1,남,con,67,,42.84,False,-3.2101479637414383,,,0.04002643920332954,2
이용빈,광주,광산구,국회의원,20,2,남,rev,51,,42.84,False,-0.6669595763391654,,,0.015249809734828144,2
김동철,광주,광산구,국회의원,20,3,남,rev,60,,42.84,True,0.1022566308690278,서울대,법,0.21811447934319766,2
나경채,광주,광산구,국회의원,20,3,남,rev,42,정당인,42.84,False,-3.3335643834632798,,법,0.014467098662234225,2
정형호,광주,광산구,국회의원,20,3,남,rev,60,정당인,42.84,False,-3.9538167764244823,연세대,,0.0013648825265235279,2
김해정,광주,광산구,국회의원,20,3,여,rem,38,,42.84,False,-3.344061165134113,,,0.010549564251187013,2
심정우,광주,광산구,국회의원,20,1,남,con,56,,42.84,False,-3.9407607320145135,연세대,행정,0.004629732877074264,2
이용섭,광주,광산구,국회의원,20,2,남,rev,64,정당인,42.84,False,-0.282301787709132,,경제,0.15506594238489746,2
권은희,광주,광산구,국회의원,20,3,여,rev,42,,42.84,True,-0.0062888344990767895,연세대,법,,2
문정은,광주,광산구,국회의원,20,3,여,rev,29,,42.84,False,-3.7319308943452985,,,0.010016714166812707,2
최경미,광주,광산구,국회의원,20,3,여,rem,48,정당인,42.84,False,-4.103112940080018,,,0.009318223654400052,2
한남숙,광주,광산구,국회의원,20,3,여,rem,61,,,False,-4.968162261370433,,,0.0005841969306458112,2
이장우,,동구,국회의원,20,1,남,con,51,,42.84,True,-0.2722844277839113,,행정,0.9955245762165196,1
강래구,대전,동구,국회의원,20,2,남,rev,51,정당인,42.84,False,-0.5463059989116873,,행정,0.002720721394938264,1
선병렬,대전,동구,국회의원,20,3,남,rev,58,정당인,42.84,False,-1.6011621533272202,,,0.001038415578175565,1
정구국,대전,동구,국회의원,20,3,남,rem,56,,,False,-4.22188336549262,,경영,0.000716286810366437,1
이은권,대전,중구,국회의원,20,1,남,con,57,정당인,42.84,True,-0.35669351386844583,,행정,0.7007090821406171,3
송행수,대전,중구,국회의원,20,2,남,rev,47,,42.84,False,-0.685929965461584,서울대,법,0.1555436945048344,3
유배근,대전,중구,국회의원,20,3,남,rev,63,정당인,42.84,False,-1.2771621344291055,서울대,,0.08395033373439773,3
송미림,대전,중구,국회의원,20,3,여,rem,53,,42.84,False,-3.709714915341956,,,0.05979688962015081,3
이영규,대전,서구,국회의원,20,,남,con,55,,42.84,False,-0.4277414757873821,서울대,행정,0.023398131380093463,2
박병석,대전,서구,국회의원,20,2,남,rev,64,,42.84,True,-0.07137618869217707,,,0.056930475685954475,2
김흥규,대전,서구,국회의원,20,3,남,rev,46,,42.84,False,-2.1925941250820817,,,0.0055603973302361205,2
주무늬,대전,서구,국회의원,20,3,여,rem,30,정당인,42.84,False,-4.284851941719476,,,0.001899060346360225,2
이재선,대전,서구,국회의원,20,1,남,con,59,정당인,42.84,False,-0.6442141920003749,,경영,0.16563914542002087,
박범계,대전,서구,국회의원,20,2,남,rev,52,,42.84,True,-0.03944474636798834,연세대,법,0.6681376294498916,2
이동규,대전,서구,국회의원,20,3,남,rev,50,,42.84,False,-2.0799171567124124,,,0.03488090941166827,2
김윤기,대전,서구,국회의원,20,3,남,rev,41,정당인,42.84,False,,,,0.043554250975774936,2
진동규,대전,유성구,국회의원,20,1,남,con,57,정당인,42.84,False,-0.6921939825085531,,행정,0.0033516814159241662,2
조승래,대전,,국회의원,20,2,남,rev,48,정당인,42.84,True,-0.08985320985643569,,,0.008112231330672317,2
고무열,대전,유성구,국회의원,20,3,남,rev,50,,42.84,False,-1.787568888187133,,경영,0.00398219766515046,2
강영삼,대전,유성구,국회의원,20,3,남,rev,53,정당인,42.84,False,-3.332876150517308,서울대,경제,0.00028164266656878554,2
김신호,대전,유성구,국회의원,20,1,,con,63,정당인,42.84,False,-1.0480759849305104,,,0.0021898450774589947,2
이상민,대전,유성구,국회의원,20,2,남,,58,,42.84,True,0.2575538849925517,,법,0.9329399020370146,2
김학일,대전,유성구,국회의원,20,3,남,rev,52,,42.84,False,-2.080954074379604,,,0.0003937923297771853,2
이성우,대전,유성구,국회의원,20,3,남,,54,,42.84,False,-3.0260889083509155,서울대,,0.046449270081347034,2
이경자,대전,유성구,국회의원,20,3,여,rev,50,정당인,42.84,False,-4.507529459785709,,,0.002299437396086527,2
정용기,대전,대덕구,국회의원,20,1,남,con,53,,42.84,True,-0.20388138280256765,연세대,정치,0.39206730051596544,1
박영순,대전,대덕구,국회의원,20,2,남,rev,51,정당인,42.84,False,-0.701041518263125,,,0.1228508095858936,1
김창수,대전,대덕구,국회의원,20,3,남,rev,61,정당인,42.84,False,-1.472566791485313,서울대,정치,0.4806124679785283,1
손종표,대전,대덕구,국회의원,20,3,남,rem,42,,42.84,False,-3.859962523880344,,,0.004469421919612685,1
정갑윤,,중구,국회의원,20,1,남,con,65,,42.84,True,-0.14935487855623505,,,0.8390016535591743,1
이철수,울산,중구,국회의원,20,2,남,rev,69,,42.84,False,-1.4264117652601953,,,0.06146901572048634,1
서인채,울산,중구,국회의원,20,3,남,rev,35,,42.84,False,-1.9333797765421268,,법,0.004615177528716743,1
이향희,울산,중구,국회의원,20,3,여,rev,40,정당인,42.84,False,-1.3730903548493878,,,0.0949141531916225,1
이채익,울산,남구,국회의원,20,1,남,,60,,42.84,True,-0.3405535877232379,,행정,0.415037499905452,1
심규명,울산,남구,국회의원,20,2,남,rev,50,,42.84,False,-0.4377149012163973,고려대,법,0.04049950470518068,1
박기준,울산,남구,국회의원,20,3,남,rem,57,,42.84,False,-1.5350519081327283,서울대,법,0.03159273668104312,1
박맹우,울산,남구,국회의원,20,1,남,con,64,,42.84,True,-0.30175907823193243,,행정,0.1464114387885252,1
임동욱,울산,남구,국회의원,20,2,남,rev,38,정당인,42.84,False,-1.6435405756179955,고려대,법,0.015816031585458416,1
송철호,울산,남구,국회의원,20,3,남,rem,66,,42.84,False,-0.3970658844117486,고려대,행정,0.3506427883343406,1
안효대,울산,동구,국회의원,20,1,남,con,60,,42.84,False,-0.7341050382127133,,경영,0.0038524757297664046,1
이연희,울산,동구,국회의원,20,3,여,rev,51,,42.84,False,-2.8634955318488404,,,0.8977385201297039,1
유성용,울산,동구,국회의원,20,3,남,rev,54,정당인,42.84,False,-3.517884012300362,,,0.007949287191924342,1
김종훈,울산,동구,국회의원,20,3,남,rem,51,,42.84,True,0.3351295244464606,,,0.09045971694860533,1
윤두환,울산,북구,국회의원,20,1,남,con,,,42.84,False,-0.4913322133927672,,행정,0.06196786744124234,1
윤종오,울산,북구,국회의원,20,3,남,rem,52,,42.84,True,0.4311328728355632,,행정,0.9380321325587576,1
김두겸,울산,,국회의원,20,1,남,con,58,정당인,42.84,False,-0.9479589893730224,,행정,0.03902773780768352,1
정찬모,울산,울주군,국회의원,20,2,남,rev,62,,42.84,False,-1.2701717382914346,,,0.0521653670715048,1
권중건,울산,울주군,국회의원,20,3,남,rev,50,,42.84,False,-2.539942102992241,,,0.005566328215281397,1
강길부,울산,울주군,국회의원,20,3,남,rem,73,,42.84,True,-0.4147272472274257,서울대,,0.7690456898791218,1
전상환,울산,울주군,국회의원,20,3,남,rem,54,,,False,-3.9822182676954583,,행정,0.1341948770264085,1
박종준,세종,세종특별자치시,국회의원,20,1,남,con,51,정당인,42.84,False,-0.5871181873857971,,행정,0.010695276469511987,2
문흥수,세종,세종특별자치시,,20,2,남,rev,59,,42.84,,-2.1427170906416806,서울대,법,0.007338581005963058,2
구성모,세종,세종특별자치시,국회의원,20,3,남,,42,,42.84,False,-2.414293729386125,,,0.004624316310768916,2
여미전,세종,세종특별자치시,국회의원,20,3,여,rem,,,42.84,False,-4.296173170081944,,,0.0010936591029615985,2
이해찬,세종,세종특별자치시,국회의원,20,3,남,rem,63,,42.84,True,-0.2679595510686512,서울대,,0.9762481671107944,2
박종희,경기,수원시,국회의원,20,1,남,con,55,정당인,42.84,False,-0.531509731273519,,행정,0.004789573942174989,2
이찬열,경기,수원시,국회의원,20,2,남,rev,56,,42.84,,-0.12273523007533912,연세대,경제,0.03122861664300257,2
김재귀,경기,수원시,국회의원,20,3,남,rev,62,정당인,42.84,False,-1.7329294887283881,연세대,경제,0.0004296455556883041,2
김상민,경기,수원시,국회의원,20,1,남,con,42,,42.84,False,-0.5499049348161851,,,0.1997996698520752,2
백혜련,경기,수원시,국회의원,20,2,여,rev,49,,42.84,True,-0.13423237476347674,고려대,,0.08422312885088848,2
이대의,경기,수원시,국회의원,20,3,,rev,67,,42.84,False,-1.8368363312997744,,경영,0.000338425362362617,2
박승하,경기,수원시,국회의원,20,3,남,rem,33,,42.84,False,-3.911024838427507,,,0.001400161564441225,2
김용남,경기,수원시,국회의원,20,1,남,con,46,,42.84,False,-0.19721996591498567,서울대,법,0.03152759178025925,2
김영진,경기,수원시,국회의원,20,2,남,rev,48,정당인,42.84,True,0.11177940706077548,,경영,0.020133233024035864,2
박수영,경기,수원시,국회의원,20,1,남,con,52,정당인,42.84,False,-0.7948112116023278,서울대,법,0.02726673846102724,2
박광온,경기,수원시,국회의원,20,2,남,rev,59,,,True,-0.16184544719050695,고려대,,0.016401645222438598,2
김명수,경기,수원시,국회의원,20,3,남,,59,,42.84,False,-1.8572775749657089,,,0.2551035246921162,2
박원석,경기,수원시,국회의원,20,3,남,rev,46,,42.84,False,-2.5229176797026054,,법,0.038109208559475576,2
강새별,경기,수원시,국회의원,20,3,여,rem,29,,42.84,False,-4.438686348685164,,,0.0005328197832672003,2
정미경,경기,수원시,국회의원,20,1,여,con,50,,42.84,False,-0.587743433040739,고려대,법,0.11164759204715764,2
김진표,경기,수원시,국회의원,20,2,남,rev,68,정당인,42.84,True,0.04053294408895604,서울대,법,0.16371823829080426,2
김용석,경기,수원시,국회의원,20,3,남,rev,56,,42.84,False,-2.086495740499596,,경영,0.012065074847491688,2
김식,경기,수원시,국회의원,20,3,남,rem,33,,42.84,False,-4.313528137957925,,경영,0.001285111521293274,2
변환봉,경기,성남시 수정구,국회의원,20,1,남,con,39,,42.84,False,-0.7143374321296383,연세대,법,0.10546330049697507,1
김태년,경기,성남시 수정구,국회의원,,2,남,rev,51,,42.84,True,-0.2404739764219533,,행정,0.805112690040624,1
장영하,경기,성남시 수정구,국회의원,20,3,남,rev,58,,42.84,False,-1.4070629602098683,,법,0.07000875317986381,1
장지화,경기,성남시 수정구,국회의원,20,3,여,rem,46,정당인,42.84,False,-3.800804265748453,,,0.019415256282537333,1
신상진,경기,성남시 중원구,국회의원,20,1,남,con,59,,42.84,True,-0.284579545636513,서울대,,0.031848444115694284,1
은수미,경기,성남시 중원구,국회의원,20,2,여,rev,52,,42.84,False,-0.4696443854500539,서울대,,0.9660152716868721,1
정환석,경기,성남시 중원구,국회의원,20,3,남,rev,58,정당인,42.84,False,-1.5510131941766017,,,0.002136284197433815,1
