이름,선거구명1,선거구명2,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
구대언,부산,강서구,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.011380055491769,1
박광명,부산,강서구,구시군의장선거,5,3,남,rem,67,,47.25,,-1.7899969105443858,1
임주섭,부산,연제구,구시군의장선거,5,1,남,con,65,정당인,47.25,False,,1
이위준,부산,,구시군의장선거,5,3,남,rem,67,,47.25,True,4.595119850134589,1
박현욱,부산,수영구,구시군의장선거,5,1,남,con,55,,47.25,True,,1
김성발,부산,수영구,구시군의장선거,5,2,남,rev,49,정당인,47.25,False,0.2760808299016225,1
송숙희,부산,사상구,구시군의장선거,5,1,여,con,51,정당인,47.25,True,,1
이영철,부산,사상구,구시군의장선거,5,2,남,rev,46,,47.25,False,1.3254168756209193,1
신상해,부산,사상구,구시군의장선거,5,3,남,rem,53,,47.25,False,-0.05529894515493045,1
윤순영,대구,,구시군의장선거,5,1,여,con,57,,47.25,True,,1
김동철,대구,,구시군의장선거,5,3,남,rem,58,,47.25,,-1.0048522194704836,1
조병기,대구,중구,구시군의장선거,5,3,남,rem,44,,47.25,False,-1.7102702659090774,1
남해진,대구,중구,구시군의장선거,5,3,남,rem,53,,47.25,False,-1.3378310665996769,1
이재만,대구,동구,구시군의장선거,5,1,남,con,51,,47.25,True,,1
,대구,동구,구시군의장선거,5,2,남,rev,51,,47.25,False,-0.6204296530908743,1
강성호,대구,서구,구시군의장선거,5,1,남,con,43,,47.25,,,1
서중현,대구,서구,구시군의장선거,5,3,남,rem,58,,47.25,True,4.595119850134589,1
임병헌,대구,남구,구시군의장선거,5,1,남,con,56,,47.25,True,,1
박형룡,대구,남구,구시군의장선거,,3,남,rem,44,,47.25,False,-0.39901665865640507,1
이종화,대구,북구,구시군의장선거,5,1,남,,60,,47.25,True,,1
구본항,대구,북구,구시군의장선거,5,3,남,rem,53,정당인,47.25,False,-0.12082512387773332,1
권효기,대구,북구,구시군의장선거,5,3,남,rem,68,,47.25,False,-1.1370221561131806,1
이진훈,대구,수성구,구시군의장선거,5,1,남,con,53,정당인,,True,,1
이기운,대구,수성구,구시군의장선거,5,3,남,rem,60,,47.25,False,-1.3948162875061259,1
김형렬,대구,수성구,구시군의장선거,5,3,남,rem,51,,47.25,False,1.0552782808187715,1
,대구,달서구,구시군의장선거,5,1,남,con,,,47.25,True,,1
조기석,대구,달서구,구시군의장선거,5,2,남,rev,50,,47.25,False,-0.9606698741891984,1
김부기,대구,달서구,구시군의장선거,,3,남,rem,54,,47.25,False,-1.0716866872698998,1
이석원,대구,달성군,구시군의장선거,5,1,남,con,64,,47.25,False,,1
김건수,대구,달성군,,5,3,남,rev,53,정당인,47.25,False,-1.418807760855845,1
김문오,대구,달성군,구시군의장선거,5,3,남,rem,61,,47.25,True,4.595119850134589,1
박승숙,인천,중구,구시군의장선거,5,1,여,con,73,,47.25,False,,1
김홍복,인천,중구,구시군의장선거,5,2,남,rev,57,정당인,47.25,True,,
허규,인천,중구,구시군의장선거,5,3,남,rem,61,,47.25,False,-2.6969333609958706,1
노경수,인천,중구,구시군의장선거,5,3,남,rem,60,,47.25,False,0.5772379398855481,1
이흥수,인천,동구,구시군의장선거,5,1,남,con,,,47.25,False,,1
조택상,인천,동구,구시군의장선거,5,3,남,rev,51,,47.25,True,4.595119850134589,1
이환섭,인천,동구,구시군의장선거,5,3,남,rem,59,,47.25,False,-0.0020989512953317373,1
이영수,인천,남구,구시군의장선거,5,1,남,con,59,,47.25,False,,1
박우섭,인천,남구,구시군의장선거,5,2,남,rev,54,,47.25,,4.595119850134589,1
이영환,인천,남구,구시군의장선거,5,3,여,rem,68,,47.25,False,-1.5805457347471887,1
남무교,인천,연수구,구시군의장선거,5,1,남,con,68,,47.25,False,,1
