,성명,지역,선거구명,선거 종류,회차,기호,성별,정당명,연령,직업,여당평가,당선여부,득표수(득표율),학교,과목,경력_지역,인지도,지역구분
43,강동호,서울,중랑구,국회의원,20,1,남,con,72,정당인,42.84,0,-0.5614936771295269,,정치,1,0.6718606583577942,3
44,박홍근,서울,중랑구,국회의원,20,2,남,rev,46,,42.84,1,-0.24801506867365697,,행정,1,0.027634033403101898,3
45,강원,서울,중랑구,국회의원,20,3,남,rev,62,정당인,42.84,0,-1.7884038650047451,,경영,0,0.01006897417721341,3
46,김민상,서울,중랑구,국회의원,20,3,남,rem,26,,42.84,0,-4.134475735220465,,경영,0,0.016399318279526672,3
47,윤정화,서울,중랑구,국회의원,20,3,남,rem,34,,42.84,0,-3.504464302921494,서울대,경영,0,0.0008800325661683753,3
48,정태근,서울,성북구,국회의원,20,1,남,con,52,,42.84,0,-0.5819054252359129,연세대,경제,1,0.04844662639120233,2
49,유승희,서울,성북구,국회의원,20,2,여,rev,55,,42.84,1,-0.1066775538608236,,행정,0,0.11604629070769827,2
50,도천수,서울,성북구,국회의원,20,3,남,rev,62,,42.84,0,-1.7630756033225194,고려대,,0,0.0022223769856786015,2
51,박철우,서울,성북구,국회의원,20,3,남,rem,31,정당인,42.84,0,-4.55337236115466,,,1,0.17439085264055146,2
52,김효재,서울,성북구,국회의원,20,1,남,con,63,정당인,42.84,0,-0.7477018294873301,고려대,,0,0.052344609522577024,2
53,기동민,서울,성북구,국회의원,20,2,남,rev,50,정당인,42.84,1,-0.44914924171639303,,,1,0.2969716965454671,2
54,김인원,서울,성북구,국회의원,20,3,남,rev,53,,42.84,0,-1.3032214328065925,,법,1,0.007479557666941069,2
55,박창완,서울,성북구,국회의원,20,3,남,rev,57,,42.84,0,-3.8342515367958923,,법,1,0.0019507202225960527,2
56,이경애,서울,성북구,국회의원,20,3,여,rem,56,,42.84,0,-3.385209252088521,,,1,0.2982612450379631,2
57,양규현,서울,성북구,국회의원,20,3,남,rem,55,,42.84,0,-4.430141260075477,,,0,0.0018860242793249313,2
58,정양석,서울,강북구,국회의원,20,1,남,con,57,정당인,42.84,1,-0.44726210725523724,,정치,0,0.1559246476393191,2
59,천준호,서울,강북구,국회의원,20,2,남,rev,45,정당인,42.84,0,-0.6533477531662625,,행정,1,0.06735666534136935,2
60,김기옥,서울,강북구,국회의원,20,3,여,rev,50,,42.84,0,-1.07525115484131,,정치,1,0.03237264686335011,2
61,안홍렬,서울,강북구,국회의원,20,1,남,con,57,,42.84,0,-0.6313689395010238,서울대,법,0,0.02706930891847887,2
62,박용진,서울,강북구,국회의원,20,2,남,rev,44,정당인,42.84,1,0.016256054335577266,,행정,0,0.7124032273237787,2
63,조구성,서울,강북구,국회의원,20,3,남,rev,60,,42.84,0,-1.853592471826009,,,0,0.004873503913703845,2
64,이재범,서울,도봉구,국회의원,20,1,남,con,60,,42.84,0,-0.44571326176513154,서울대,법,0,0.047715849776464175,2
65,인재근,서울,도봉구,국회의원,20,2,여,rev,62,,42.84,1,0.3556710285848652,,,0,0.2259594259135687,2
66,김선동,서울,도봉구,국회의원,20,1,남,con,52,정당인,42.84,1,-0.2762604886496081,고려대,정치,0,0.6149769809314756,2
67,오기형,서울,도봉구,국회의원,20,2,남,rev,49,,42.84,0,-0.5792026542418879,,법,0,0.0922812770737974,2
68,손동호,서울,도봉구,국회의원,20,3,남,rev,59,정당인,42.84,0,-1.4113383882959234,고려대,,1,0.019066466304694177,2
69,이노근,서울,노원구,국회의원,20,1,남,con,62,,42.84,0,-0.4500269125056252,,행정,0,0.002812369488714638,2
70,고용진,서울,노원구,국회의원,20,2,남,rev,51,정당인,42.84,1,-0.35042148617816116,서울대,,0,0.004249094923242845,2
71,이형남,서울,노원구,국회의원,20,3,남,rev,58,정당인,42.84,0,-1.4751090960593018,,경영,0,0.00020126267442539136,2
72,홍범식,서울,노원구,국회의원,20,1,남,con,51,,42.84,0,-0.8684524657206565,서울대,법,0,0.0008640637504034851,2
73,우원식,서울,노원구,국회의원,20,2,남,rev,58,정당인,42.84,1,0.055814616349498566,연세대,,1,0.02667355397937274,2
74,황상모,서울,노원구,국회의원,20,3,남,rev,57,,42.84,0,-1.5189245539311294,,경영,0,0.00015903195341816187,2
75,이준석,서울,노원구,국회의원,20,1,남,con,31,정당인,42.84,0,-0.7940452220384064,,경제,0,0.2081782947127794,2
76,황창화,서울,노원구,국회의원,20,2,남,rev,57,정당인,42.84,0,-1.827306615833039,연세대,,0,0.0018039377269139444,2
77,안철수,서울,노원구,국회의원,20,3,남,rev,54,,42.84,1,0.08007361240968991,서울대,,1,0.7545798764994187,2
78,주희준,서울,노원구,국회의원,20,3,남,rev,48,정당인,42.84,0,-3.9753736156273276,,,0,0.0002607502433109218,2
79,나기환,서울,노원구,국회의원,20,3,남,rem,54,,42.84,0,-5.97085591325759,,,0,0.00011948822038599028,2
80,정태흥,서울,노원구,국회의원,20,3,남,rem,44,,42.84,0,-5.862935200625102,고려대,법,1,9.827582761364938e-05,2
81,최홍재,서울,은평구,국회의원,20,1,남,con,47,정당인,42.84,0,-0.5405982659217393,고려대,,0,0.005295001127968621,2
82,박주민,서울,은평구,국회의원,20,2,남,rev,42,,42.84,1,-0.02181443944090065,서울대,법,0,0.4176012754054099,2
83,최승현,서울,은평구,국회의원,20,3,남,rev,40,,42.84,0,-3.2402944252715398,,법,0,0.07951994505896144,2
84,강병원,서울,은평구,국회의원,20,2,남,rev,44,정당인,42.84,1,-0.5920809572972257,서울대,경제,1,0.06911220452876142,2
85,고연호,서울,은평구,국회의원,20,3,여,rev,52,정당인,42.84,0,-1.013771396508678,고려대,경영,1,0.00932325510054191,2
86,이강무,서울,은평구,국회의원,20,3,남,rev,65,정당인,42.84,0,-4.485033035278267,,,1,0.001221863047297658,2
87,유지훈,서울,은평구,국회의원,20,3,남,rem,34,정당인,42.84,0,-5.181548741576249,고려대,,0,0.006183755914833195,2
88,최병호,서울,은평구,국회의원,20,3,남,rem,49,,42.84,0,-3.079299752926712,연세대,경제,0,0.008382443744759983,2
89,이재오,서울,은평구,국회의원,20,3,남,rem,71,,42.84,0,-0.913828351925465,고려대,,0,0.40336025607146575,2
90,이성헌,서울,서대문구,국회의원,20,1,남,con,57,정당인,42.84,0,-0.4182494999708401,,,0,0.0064234092211869695,2
91,우상호,서울,서대문구,국회의원,20,2,남,rev,53,,42.84,1,0.16436039924752294,연세대,행정,0,0.16495096997050643,2
92,이종화,서울,서대문구,국회의원,20,3,남,rev,43,,42.84,0,-3.8935045469289817,,,1,0.011369315030750825,2
93,김영준,서울,서대문구,국회의원,20,3,남,rem,40,,42.84,0,-3.5555423179733348,,,0,0.04935980240379885,2
94,정두언,서울,서대문구,국회의원,20,1,남,con,59,,42.84,0,-0.4325478707001769,서울대,,1,0.6438478910932997,2
95,김영호,서울,서대문구,국회의원,20,2,남,rev,48,정당인,42.84,1,-0.06917106151022646,,정치,0,0.11970308021929911,2
96,홍성덕,서울,서대문구,국회의원,20,3,남,rev,70,정당인,42.84,0,-2.0824136233412673,,,0,0.004345532061158086,2
97,안대희,서울,마포구,국회의원,20,1,남,con,61,,42.84,0,-0.7125503844278387,서울대,법,0,0.011924293806585088,2
98,노웅래,서울,마포구,국회의원,20,2,남,rev,58,,42.84,1,0.05790902598149191,,,0,0.018109049483659472,2
99,홍성문,서울,마포구,국회의원,20,3,남,rev,55,,42.84,0,-2.312235271733975,고려대,법,0,0.0010826339022969322,2
100,이상이,서울,마포구,국회의원,20,3,남,rem,52,,42.84,0,-4.185386843230343,,,0,0.0685954152072239,2
101,강승규,서울,마포구,국회의원,20,3,남,rem,52,,42.84,0,-3.1213950256950818,,,0,0.0041861584281319315,2
102,김성동,서울,마포구,국회의원,20,1,남,con,61,정당인,42.84,0,-0.7696734527674199,고려대,정치,0,0.005790062907237186,2
103,손혜원,서울,마포구,국회의원,20,2,여,rev,61,,42.84,1,-0.3268940363542169,,,0,0.8805818441694471,2
104,김철,서울,마포구,국회의원,20,3,남,rev,51,정당인,42.84,0,-1.693646675095518,연세대,,0,0.005245696425385312,2
105,배준호,서울,마포구,국회의원,20,3,남,rev,31,정당인,42.84,0,-3.1963608352237074,고려대,정치,0,0.0016444431359055947,2
106,하윤정,서울,마포구,국회의원,20,3,여,rev,28,정당인,42.84,0,-3.9380639561370177,,,0,0.0008268512841128206,2
107,정명수,서울,마포구,국회의원,20,3,남,rem,49,,42.84,0,-3.141238046925765,연세대,,1,0.002013551250014725,2
108,이기재,서울,양천구,국회의원,20,1,남,con,47,,42.84,0,-0.43502043356805176,연세대,,0,0.021028188625976482,3
109,황희,서울,양천구,국회의원,20,2,남,rev,48,정당인,42.84,1,0.0552596232543,연세대,,1,0.30491006485282507,3
110,염동옥,서울,양천구,국회의원,20,3,남,rem,52,,42.84,0,-2.457066360979536,연세대,경제,0,0.009609216614119698,3
111,김용태,서울,양천구,국회의원,20,1,남,con,48,,42.84,1,-0.34608164320915846,서울대,정치,1,0.6061675484587339,3
112,이용선,서울,양천구,국회의원,20,2,남,rev,58,정당인,42.84,0,-0.43037147479165866,서울대,,0,0.0463453278417113,3
113,김현배,서울,양천구,국회의원,20,3,남,rev,55,,42.84,0,-1.5253754809998417,고려대,정치,0,0.011939653606633615,3
114,구상찬,서울,강서구,국회의원,20,1,남,con,58,정당인,42.84,0,-0.7578904191377066,,,0,0.004173302219905167,2
115,금태섭,서울,강서구,국회의원,20,2,남,rev,48,,42.84,1,-0.5342107038569482,서울대,법,1,0.09068480513202051,2
116,김영근,서울,강서구,국회의원,20,3,남,rev,53,,42.84,0,-1.6722524157181013,,정치,0,0.08665346080490476,2
117,신기남,서울,강서구,국회의원,20,3,남,rev,63,,42.84,0,-2.686745214301843,서울대,법,0,0.029626072444893403,2
118,백철,서울,강서구,국회의원,20,3,남,rem,59,,42.84,0,-2.421402615649208,,법,0,0.0027609114210225823,2
119,김성태,서울,강서구,국회의원,20,1,남,con,57,,42.84,1,-0.1828447403779243,,행정,1,0.3586862014223339,2
120,진성준,서울,강서구,국회의원,20,2,남,rev,48,,42.84,0,-0.4831075842072475,,법,1,0.013507346695832765,2
121,김용성,서울,강서구,국회의원,20,3,남,rev,56,정당인,42.84,0,-1.7700452938652294,,행정,1,0.0020761555095748676,2
122,김인자,서울,강서구,국회의원,20,3,여,rem,57,,42.84,0,-4.830803751038904,,,0,0.0007770542766359173,2
123,유영,서울,강서구,국회의원,20,1,남,con,68,,42.84,0,-0.758869734668527,서울대,외교,1,0.14334744967009305,2
124,한정애,서울,강서구,국회의원,20,2,여,rev,51,,42.84,1,-0.2812350497326544,,,0,0.007271908075133507,2
125,김성호,서울,강서구,국회의원,20,3,남,rev,54,,42.84,0,-1.364547985503198,서울대,정치,0,0.015156850159172824,2
126,김종민,서울,강서구,국회의원,20,3,남,rev,45,,42.84,0,-3.306328236318895,,,0,0.2452784821684766,2
127,김승제,서울,구로구,국회의원,20,1,남,con,64,정당인,42.84,0,-0.6800432955967743,연세대,경영,0,0.0023665195809887516,2
128,이인영,서울,구로구,국회의원,20,2,남,rev,51,,42.84,1,0.06202852270396163,고려대,,0,0.1742886821715666,2
129,김철근,서울,구로구,국회의원,20,3,남,rev,47,,42.84,0,-2.1212703208107038,,경제,0,0.004987074052690989,2
130,이호성,서울,구로구,국회의원,20,3,남,rev,48,정당인,42.84,0,-3.736278253574926,,,0,0.080961237382253,2
131,이근미,서울,구로구,국회의원,20,3,여,rem,39,정당인,42.84,0,-4.734924816058654,,,0,0.0005951334562961583,2
132,강요식,서울,구로구,국회의원,20,1,남,con,54,정당인,42.84,0,-0.7943845411082785,,정치,0,0.0030366597074709856,2
133,박영선,서울,구로구,국회의원,20,2,여,rev,56,,42.84,1,0.13905756093537275,,,0,0.6271504499386276,2
134,정찬택,서울,구로구,국회의원,20,3,남,rev,50,,42.84,0,-1.9491920368444038,연세대,법,0,0.0004402182921734286,2
135,김선경,서울,구로구,국회의원,20,3,남,rem,31,정당인,42.84,0,-4.0506280851929475,,,0,0.10617402541793255,2
136,한인수,서울,금천구,국회의원,20,1,남,con,69,,42.84,0,-0.6560705841878157,연세대,경제,0,0.0325398260596998,2
137,이훈,서울,금천구,국회의원,20,2,남,rev,50,정당인,42.84,1,-0.5060670463068955,,,0,0.9613730452156445,2
138,정두환,서울,금천구,국회의원,20,3,남,rev,55,정당인,42.84,0,-1.1648791143432764,연세대,행정,0,0.0048809262474180225,2
139,유재운,서울,금천구,국회의원,20,3,남,rem,60,,42.84,0,-3.3831642172359793,연세대,,1,0.0012062024772378182,2
140,박선규,서울,영등포구,국회의원,20,1,남,con,54,정당인,42.84,0,-0.4314259721357389,,,0,0.08014569412771458,3
141,김영주,서울,영등포구,국회의원,20,2,여,rev,60,,42.84,1,-0.20655737380949868,,경제,0,0.42649478727760304,3
142,강신복,서울,영등포구,국회의원,20,3,남,rev,55,정당인,42.84,0,-2.092758480905645,,,0,0.0024085453434607154,3
143,정재민,서울,영등포구,국회의원,20,3,남,rev,35,정당인,42.84,0,-3.219072021457812,,,1,0.035638275835163276,3
144,권영세,서울,영등포구,국회의원,20,1,남,con,57,,42.84,0,-0.5177832131736556,,행정,0,0.08073721823424375,3
145,신경민,서울,영등포구,국회의원,20,2,남,rev,62,,42.84,1,-0.3779567655747154,서울대,,1,0.29875710998120114,3
146,김종구,서울,영등포구,국회의원,20,3,남,rev,61,,42.84,0,-1.4798118040004054,,행정,0,0.07182254193045402,3
147,성성봉,서울,영등포구,국회의원,20,3,남,rem,37,,42.84,0,-4.982317190795927,,,1,0.0007334207087813561,3
148,진재범,서울,영등포구,국회의원,20,3,남,rem,53,,42.84,0,-3.985685127753523,,법,0,0.0032624065613780944,3
149,이상휘,서울,동작구,국회의원,20,1,남,con,52,,42.84,0,-0.6457543836841569,,,0,0.0034872580750044306,3
150,김병기,서울,동작구,국회의원,20,2,남,rev,54,정당인,42.84,1,-0.56653381975666,,,0,0.028755346673047962,3
151,장환진,서울,동작구,국회의원,20,3,남,rev,51,,42.84,0,-1.1242470970936944,연세대,정치,1,0.0004472508536102702,3
152,이유진,서울,동작구,국회의원,20,3,여,rem,40,,42.84,0,-3.4684804131713762,서울대,,1,0.1247765126230469,3
153,김주식,서울,동작구,국회의원,20,3,남,rem,31,정당인,42.84,0,-4.651562868642506,,,0,0.000995188581668248,3
154,나경원,서울,동작구,국회의원,20,1,여,con,52,,42.84,1,-0.29554633748316106,서울대,법,0,0.703800595327824,3
155,허동준,서울,동작구,국회의원,20,2,남,rev,47,정당인,42.84,0,-0.8041742756332656,,행정,0,0.0043428164597957035,3
156,장진영,서울,동작구,국회의원,20,3,남,rev,44,,42.84,0,-1.146126518061301,,법,0,0.12747722843668519,3
157,이상현,서울,동작구,국회의원,20,3,남,rem,33,정당인,42.84,0,-5.134746775279648,,,1,0.005917802969317458,3
158,원영섭,서울,관악구,국회의원,20,1,남,con,38,,42.84,0,-1.3929835835340185,서울대,,0,0.006664992831942789,2
159,유기홍,서울,관악구,국회의원,20,2,남,rev,57,,42.84,0,-0.5239481817176554,서울대,,0,0.036643901506090405,2
160,김성식,서울,관악구,국회의원,20,3,남,rev,57,정당인,42.84,1,-0.4870424147895387,서울대,경제,0,0.08827688136535707,2
161,이동영,서울,관악구,국회의원,20,3,남,rev,44,정당인,42.84,0,-3.4902743719196776,,경영,0,0.03068606785363843,2
162,연시영,서울,관악구,국회의원,20,3,여,rem,26,정당인,42.84,0,-4.672504324046507,,경영,0,0.0035264321242940563,2
163,오신환,서울,관악구,국회의원,20,1,남,con,45,,42.84,1,-0.5492472389093704,고려대,,0,0.4433959636496811,2
164,정태호,서울,관악구,국회의원,20,2,남,rev,53,정당인,42.84,0,-0.5792487368464907,서울대,,0,0.1692552984155701,2
165,이행자,서울,관악구,국회의원,20,3,여,rev,43,정당인,42.84,0,-1.1974273504792687,,,1,0.11441484438161305,2
166,송광호,서울,관악구,국회의원,20,3,남,rev,56,,42.84,0,-4.421795157255358,,,1,0.06675350556105024,2
167,이상규,서울,관악구,국회의원,20,3,남,rem,51,,42.84,0,-3.946461371362002,서울대,법,1,0.04038211231076279,2
168,이혜훈,서울,서초구,국회의원,20,1,여,con,51,,42.84,1,0.24981879027879578,,경제,0,0.751394129186438,1
169,이정근,서울,서초구,국회의원,20,2,여,rev,53,,42.84,0,-0.940594374773537,,경영,0,0.03813899930406948,1
170,이한준,서울,서초구,국회의원,20,3,남,rev,74,,42.84,0,-1.7913353835806332,서울대,,0,0.003742576263050078,1
171,박성중,서울,서초구,국회의원,20,1,남,con,57,,42.84,1,-0.1518280252027559,,행정,0,0.06232678517654316,1
172,김기영,서울,서초구,국회의원,20,2,남,rev,50,,42.84,0,-0.5776074296889145,,법,0,0.03768844138357532,1
173,조순형,서울,서초구,국회의원,20,3,남,rev,72,정당인,42.84,0,-1.7946389267387226,,,1,0.022645273042079635,1
